Date,target_10
2021-01-01,-1.9414
2021-01-03,-2.9121
2021-01-06,-3.8828
2021-01-07,-2.7535
2021-01-08,-2.2949
2021-01-09,-3.2656
2021-01-10,-4.2363
2021-01-13,-1.9776999999999996
2021-01-14,2.3809000000000005
2021-01-15,1.4102000000000006
2021-01-16,0.43950000000000056
2021-01-17,-1.5018999999999996
2021-01-20,-2.4725999999999995
2021-01-21,-3.4432999999999994
2021-01-22,-6.3553999999999995
2021-01-24,-7.326099999999999
2021-01-27,-8.2968
2021-01-28,-10.238199999999999
2021-01-29,-11.2089
2021-01-30,-12.1796
2021-01-31,-13.150300000000001
2021-02-04,-14.121000000000002
2021-02-05,-15.091700000000003
2021-02-07,-16.062400000000004
2021-02-10,-17.033100000000005
2021-02-11,-18.974500000000006
2021-02-12,-19.945200000000007
2021-02-13,-21.88660000000001
2021-02-17,-22.85730000000001
2021-02-18,-24.79870000000001
2021-02-19,-25.14010000000001
2021-02-20,-27.081500000000013
2021-02-21,-30.964300000000012
2021-02-24,-32.90570000000001
2021-02-25,-33.87640000000001
2021-02-26,-32.547100000000015
2021-02-28,-33.517800000000015
2021-03-03,-34.488500000000016
2021-03-04,-37.40060000000002
2021-03-05,-39.34200000000002
2021-03-06,-42.25410000000002
2021-03-07,-45.166200000000025
2021-03-10,-46.136900000000026
2021-03-11,-49.04900000000003
2021-03-12,-50.99040000000003
2021-03-13,-47.63180000000003
2021-03-14,-48.60250000000003
2021-03-19,-46.585300000000025
2021-03-20,-47.556000000000026
2021-03-21,-37.297400000000025
2021-03-24,-31.309500000000025
2021-03-25,-29.963000000000022
2021-03-27,-30.933700000000023
2021-03-28,-29.475100000000023
2021-04-01,-30.445800000000023
2021-04-02,-29.89930000000002
2021-04-03,-33.78210000000002
2021-04-04,-28.55280000000002
2021-04-08,-29.52350000000002
2021-04-09,-30.06490000000002
2021-04-10,-32.97700000000002
2021-04-11,-30.94770000000002
