Date,target_10,nb_races
2021-01-01,4.715499999999999,7.0
2021-01-02,0.047999999999998266,12.0
2021-01-03,-4.619500000000002,17.0
2021-01-07,-6.5035000000000025,21.0
2021-01-08,-6.421000000000002,26.0
2021-01-09,-5.855500000000003,33.0
2021-01-10,-3.8560000000000034,36.0
2021-01-15,-8.523500000000004,41.0
2021-01-16,-10.824500000000004,47.0
2021-01-17,-7.125500000000004,53.0
2021-01-18,-6.159500000000004,57.0
2021-01-21,-11.760500000000004,63.0
2021-01-22,10.5885,69.0
2021-01-23,4.9875,75.0
2021-01-24,-0.6135000000000002,81.0
2021-01-28,-3.414,84.0
2021-01-30,-7.148,88.0
2021-01-31,-10.882,92.0
2021-02-04,-9.5825,95.0
2021-02-05,0.4499999999999993,100.0
2021-02-06,-1.4170000000000007,102.0
2021-02-08,1.0824999999999991,105.0
2021-02-12,-4.518500000000001,111.0
2021-02-13,-3.5530000000000017,118.0
2021-02-14,-1.4535000000000018,121.0
2021-02-15,-4.254000000000001,124.0
2021-02-19,-7.988000000000001,128.0
2021-02-20,-6.955500000000001,133.0
2021-02-21,-9.756,136.0
2021-02-25,-13.49,140.0
2021-02-26,-8.024000000000001,144.0
2021-02-27,-10.392000000000001,152.0
2021-02-28,-10.209500000000002,157.0
2021-03-05,-1.2100000000000009,160.0
2021-03-06,-6.811000000000001,166.0
2021-03-07,-9.611500000000001,169.0
2021-03-12,-13.345500000000001,173.0
2021-03-13,-13.563,178.0
2021-03-14,-17.297,182.0
2021-03-19,-17.231,186.0
2021-03-20,-15.931500000000002,189.0
2021-03-21,-16.865000000000002,190.0
2021-03-25,-21.532500000000002,195.0
2021-03-26,-8.450000000000001,200.0
2021-03-27,-15.918000000000001,208.0
2021-03-28,-15.619,214.0
2021-04-01,-19.353,218.0
2021-04-02,-23.087000000000003,222.0
2021-04-03,-25.887500000000003,225.0
2021-04-08,-28.688000000000002,228.0
2021-04-09,-34.289,234.0
2021-04-10,-28.790000000000003,240.0
2021-04-11,-34.391000000000005,246.0
