Date,target_10
2020-06-05,0.6878000000000004
2020-06-06,4.613
2020-06-08,-1.4678999999999993
2020-06-09,-6.6800999999999995
2020-06-12,-10.1549
2020-06-13,-13.6297
2020-06-14,-17.9732
2020-06-15,-17.5167
2020-06-16,-19.2541
2020-06-19,-23.5976
2020-06-20,-8.178500000000001
2020-06-22,-11.653300000000002
2020-06-23,-16.8655
2020-06-26,-18.6029
2020-06-27,-22.946400000000004
2020-06-28,-21.221200000000003
2020-06-29,-23.827300000000005
2020-06-30,-26.433400000000006
2020-07-03,-29.908200000000008
2020-07-04,-33.38300000000001
2020-07-06,-38.59520000000001
2020-07-07,-40.03870000000001
2020-07-10,-42.64480000000001
2020-07-11,-44.38220000000001
2020-07-12,-46.98830000000001
2020-07-13,-6.131800000000013
2020-07-14,-6.806600000000013
2020-07-17,-9.412700000000013
2020-07-18,-12.887500000000014
2020-07-19,-14.624900000000014
2020-07-20,-13.068400000000015
2020-07-21,-10.643200000000014
2020-07-24,-19.330200000000016
2020-07-25,-21.936300000000017
2020-07-26,-28.885900000000017
