Date,target_10,nb_races
2021-01-15,-3.8764,4.0
2021-01-16,-8.7219,9.0
2021-01-17,-12.5983,13.0
2021-01-18,-10.6747,17.0
2021-01-22,-13.581999999999999,20.0
2021-01-23,-14.551099999999998,21.0
2021-01-24,-16.489299999999997,23.0
2021-01-28,-15.027499999999996,25.0
2021-01-29,-17.934799999999996,28.0
2021-01-30,-11.642099999999996,31.0
2021-01-31,-13.580299999999996,33.0
2021-02-04,-5.125799999999996,38.0
2021-02-05,-10.940399999999997,44.0
2021-02-06,-15.785899999999996,49.0
2021-02-07,-18.669599999999996,56.0
2021-02-11,-12.238699999999994,57.0
2021-02-13,-18.053299999999993,63.0
2021-02-14,-19.99149999999999,65.0
2021-02-15,-21.92969999999999,67.0
2021-02-19,-17.93699999999999,70.0
2021-02-20,-23.75159999999999,76.0
2021-02-21,-26.65889999999999,79.0
2021-02-25,-29.566199999999988,82.0
2021-02-26,-16.27349999999999,85.0
2021-02-27,-20.14989999999999,89.0
2021-02-28,-26.93359999999999,96.0
2021-03-04,-30.80999999999999,100.0
2021-03-05,-28.54819999999999,102.0
2021-03-06,-27.95549999999999,105.0
2021-03-07,-22.29369999999999,107.0
2021-03-11,-24.23189999999999,109.0
2021-03-12,-27.139199999999988,112.0
2021-03-13,-29.077399999999987,114.0
2021-03-14,-24.98469999999999,117.0
2021-03-19,-25.95379999999999,118.0
2021-03-20,-31.76839999999999,124.0
2021-03-21,-27.57569999999999,127.0
2021-03-25,-15.682999999999993,130.0
2021-03-27,-11.39759999999999,136.0
2021-03-28,-14.30489999999999,139.0
2021-04-01,-17.21219999999999,142.0
2021-04-02,-7.01949999999999,145.0
2021-04-03,-10.89589999999999,149.0
2021-04-04,-4.703199999999991,152.0
2021-04-08,-6.641399999999991,154.0
2021-04-09,-7.610499999999991,155.0
2021-04-10,-9.548699999999991,157.0
2021-04-11,-13.425099999999992,161.0
