Date,target_10
2020-10-03,0.2344
2020-10-04,1.580900000000001
2020-10-07,-2.301899999999999
2020-10-08,-5.213999999999999
2020-10-09,-7.4674999999999985
2020-10-10,-8.562399999999998
2020-10-11,-12.898699999999998
2020-10-12,-20.664299999999997
2020-10-15,-27.459199999999996
2020-10-16,-29.083399999999997
2020-10-17,-26.5783
2020-10-18,-30.4611
2020-10-21,-36.2853
2020-10-22,-38.4388
2020-10-23,-47.1751
2020-10-24,-50.4114
2020-10-25,-56.2356
2020-10-28,-16.60119999999999
2020-10-29,-22.425399999999993
2020-10-30,-22.00819999999999
2020-10-31,-28.044499999999992
2020-11-01,-33.86869999999999
2020-11-04,-37.75149999999999
2020-11-05,-42.60499999999999
2020-11-06,-45.62919999999999
2020-11-07,-42.11199999999999
2020-11-11,-39.777599999999985
2020-11-12,-45.60179999999998
2020-11-13,-42.62599999999998
2020-11-14,-42.038099999999986
2020-11-15,-46.26229999999999
2020-11-18,-34.08649999999999
2020-11-19,-26.239999999999988
2020-11-20,-18.164199999999987
2020-11-21,-23.017699999999987
2020-11-22,-27.871199999999988
2020-11-25,-30.03679999999999
2020-11-27,-27.01959999999999
2020-11-28,-33.81449999999999
