Date,target_10,nb_races
2021-01-08,-7.1896,8.0
2021-01-09,-12.581800000000001,14.0
2021-01-14,-11.2766,18.0
2021-01-15,-15.7701,23.0
2021-01-16,-19.3649,27.0
2021-01-21,-22.4571,33.0
2021-01-22,-20.8519,37.0
2021-01-23,-23.548000000000002,40.0
2021-01-28,-27.1428,44.0
2021-01-29,-30.7376,48.0
2021-01-30,-37.9272,56.0
2021-01-31,-35.919399999999996,62.0
2021-02-04,-39.4103,69.0
2021-02-05,-40.7999,77.0
2021-02-06,-38.5921,83.0
2021-02-10,-37.2856,88.0
2021-02-12,-37.3817,91.0
2021-02-13,-41.8752,96.0
2021-02-24,-38.2622,106.0
2021-02-25,-42.0531,113.0
2021-02-26,-42.641400000000004,122.0
2021-02-27,-48.932300000000005,129.0
2021-03-03,-47.121900000000004,137.0
2021-03-04,-31.516700000000004,141.0
2021-03-05,-19.207600000000006,148.0
2021-03-06,-24.59980000000001,154.0
2021-03-10,-19.49330000000001,159.0
2021-03-11,-24.68290000000001,167.0
2021-03-12,-27.87380000000001,174.0
2021-03-13,-31.16600000000001,180.0
2021-03-17,-32.25690000000001,187.0
2021-03-18,-31.45040000000001,192.0
2021-03-19,-27.043900000000008,197.0
2021-03-20,-32.43610000000001,203.0
2021-03-24,-38.72700000000001,210.0
2021-03-25,-41.52050000000001,215.0
2021-03-26,-46.912700000000015,221.0
2021-03-27,-49.608800000000016,224.0
2021-03-31,-18.79580000000001,234.0
2021-04-01,-21.08800000000001,240.0
2021-04-02,-26.48020000000001,246.0
2021-04-03,-30.97370000000001,251.0
