Date,target_10
2020-07-08,-6.507899999999999
2020-07-09,-9.8455
2020-07-10,-15.4237
2020-07-11,-23.791
2020-07-12,-30.2989
2020-10-02,-34.9474
2020-10-03,-16.455300000000005
2020-10-04,-22.963200000000004
2020-10-07,-29.471100000000003
2020-10-08,-35.0493
2020-10-09,-39.6978
2020-10-10,-47.135400000000004
2020-10-11,-53.6433
2020-10-14,-59.221500000000006
2020-10-15,-63.870000000000005
2020-10-16,-70.37790000000001
2020-10-17,-75.9561
2020-10-18,-81.5343
2020-10-21,-81.8531
2020-10-22,-86.5016
2020-10-23,-93.9392
2020-10-24,-100.4471
2020-11-06,-106.95500000000001
2020-11-07,-112.91140000000001
