Date,target_10,nb_races
2021-01-01,-0.9407,1.0
2021-01-08,-2.8221,3.0
2021-01-09,-4.7035,5.0
2021-01-10,-5.6442,6.0
2021-01-17,-1.6255999999999995,8.0
2021-01-23,-2.5662999999999996,9.0
2021-02-12,-3.5069999999999997,10.0
2021-02-14,-4.447699999999999,11.0
2021-02-19,-5.388399999999999,12.0
2021-02-20,-2.1697999999999995,14.0
2021-02-27,-3.1104999999999996,15.0
2021-03-05,-4.991899999999999,17.0
2021-03-06,-5.932599999999999,18.0
2021-03-07,-6.873299999999999,19.0
2021-03-21,-8.754699999999998,21.0
2021-03-26,-9.695399999999998,22.0
2021-03-27,-10.636099999999997,23.0
2021-03-28,-11.576799999999997,24.0
2021-04-02,-12.517499999999997,25.0
2021-04-09,-13.458199999999996,26.0
2021-04-10,-14.398899999999996,27.0
