Date,target_10,nb_races
2021-01-01,-6.629,7.0
2021-01-02,7.241999999999999,14.0
2021-01-03,0.6129999999999995,21.0
2021-01-08,1.178,26.0
2021-01-09,-1.2040000000000006,32.0
2021-01-10,0.7609999999999997,37.0
2021-01-15,-3.9739999999999998,42.0
2021-01-16,-9.655999999999999,48.0
2021-01-17,-13.443999999999999,52.0
2021-01-18,-18.179,57.0
2021-01-22,-23.255,65.0
2021-01-23,-28.936999999999998,71.0
2021-01-24,-31.778,74.0
2021-01-29,-29.259999999999998,80.0
2021-01-30,-2.300999999999995,83.0
2021-02-04,-6.088999999999995,87.0
2021-02-05,-3.8239999999999945,92.0
2021-02-06,-5.717999999999995,94.0
2021-02-07,-8.346999999999994,101.0
2021-02-12,-14.975999999999994,108.0
2021-02-15,4.230000000000009,110.0
2021-02-20,0.4420000000000095,114.0
2021-02-21,-7.13399999999999,122.0
2021-02-25,-12.815999999999988,128.0
2021-02-26,-19.444999999999986,135.0
2021-02-27,-25.126999999999985,141.0
2021-02-28,-30.808999999999983,147.0
2021-03-05,-35.54399999999998,152.0
2021-03-06,-41.225999999999985,158.0
2021-03-07,-40.51399999999998,162.0
2021-03-13,-44.30199999999998,166.0
2021-03-14,-45.183999999999976,172.0
2021-03-19,-39.45999999999997,180.0
2021-03-20,-42.30099999999997,183.0
2021-03-21,-38.28299999999997,189.0
2021-04-08,-42.07099999999997,193.0
2021-04-09,-41.69999999999997,200.0
2021-04-10,-48.328999999999965,207.0
2021-04-11,-51.169999999999966,210.0
