Date,target_10
2020-07-03,-2.8611
2020-07-04,-12.3981
2020-07-05,-20.0277
2020-07-11,-28.610999999999997
2020-07-12,-32.533199999999994
2020-07-17,-37.3017
2020-07-18,-43.6387
2020-07-19,-45.3535
2020-07-24,-47.2609
2020-07-25,-52.2905
2020-07-26,-50.9516
2020-07-31,-29.620099999999997
2020-08-01,-35.9034
2020-08-02,-34.8793
2020-08-07,-39.647800000000004
2020-08-08,-39.1311
2020-08-09,-49.62180000000001
2020-08-14,-50.13660000000001
2020-08-15,-56.81250000000001
2020-08-16,-63.94950000000001
2020-08-21,-66.81060000000001
2020-08-22,-73.4865
2020-08-23,-74.7013
2020-08-28,-79.4698
2020-08-29,-74.34570000000001
2020-08-30,-78.7753
2020-09-04,-72.0975
2020-09-05,-79.7271
2020-09-06,-84.4956
2020-09-07,-88.3104
2020-09-12,-88.1474
2020-09-13,-93.83810000000001
2020-09-19,-102.52880000000002
2020-09-20,-111.11210000000001
2020-09-26,-111.44170000000001
2020-09-27,-113.82500000000002
2020-10-03,-88.83980000000003
2020-10-04,-96.46940000000002
2020-10-07,-103.14530000000002
2020-10-10,-104.42120000000001
2020-10-14,-111.09710000000001
2020-10-17,-113.9582
2020-10-21,-115.2341
2020-10-24,-122.8637
