Date,target_10,nb_races
2021-01-02,0.4438999999999999,3.0
2021-01-04,-4.1495999999999995,8.0
2021-01-05,-6.9056999999999995,11.0
2021-01-06,-10.580499999999999,15.0
2021-01-09,-14.255299999999998,19.0
2021-01-11,-18.848799999999997,24.0
2021-01-12,-11.742299999999998,29.0
2021-01-13,-3.1545000000000005,35.0
2021-01-16,-8.6667,41.0
2021-01-18,-10.7789,47.0
2021-01-19,-16.2911,53.0
2021-01-20,-15.7659,57.0
2021-01-23,-20.3594,62.0
2021-01-25,-18.652900000000002,67.0
2021-01-26,-21.409000000000002,70.0
2021-01-27,-25.083800000000004,74.0
2021-01-30,-30.596000000000004,80.0
2021-02-01,-35.1895,85.0
2021-02-02,-33.026900000000005,87.0
2021-02-03,-33.945600000000006,88.0
2021-02-06,-36.7017,91.0
2021-02-08,-30.0578,94.0
2021-02-09,-31.5326,98.0
2021-02-10,-26.626099999999997,103.0
2021-02-13,-28.463499999999996,105.0
2021-02-15,-33.975699999999996,111.0
2021-02-16,-36.3692,116.0
2021-02-17,-40.044,120.0
2021-02-20,-36.718799999999995,124.0
2021-02-22,-39.47489999999999,127.0
2021-02-24,-42.230999999999995,130.0
2021-02-27,-40.90579999999999,134.0
2021-03-01,-47.33669999999999,141.0
2021-03-02,-43.4115,145.0
2021-03-03,-47.086299999999994,149.0
2021-03-06,-48.9237,151.0
2021-03-08,-55.3546,158.0
2021-03-09,-59.029399999999995,162.0
2021-03-10,-57.3668,164.0
2021-03-13,-62.879,170.0
2021-03-15,-63.2099,177.0
2021-03-16,-70.5595,185.0
2021-03-17,-72.3969,187.0
2021-03-20,-74.2343,189.0
2021-03-22,-76.0717,191.0
2021-03-23,-82.5026,198.0
2021-03-24,-85.2587,201.0
2021-03-27,-79.43350000000001,205.0
2021-03-29,-77.70830000000001,209.0
2021-03-30,-80.9205,215.0
2021-03-31,-84.59530000000001,219.0
2021-04-03,-88.27010000000001,223.0
2021-04-05,-89.04490000000001,227.0
2021-04-06,-92.71970000000002,231.0
2021-04-07,-97.31320000000002,236.0
2021-04-10,-100.98800000000003,240.0
2021-04-12,-99.90020000000003,246.0
2021-04-13,-101.73760000000003,248.0
2021-04-14,-106.33110000000003,253.0
