Date,target_10,nb_races
2021-01-04,-5.5122,6.0
2021-01-05,-7.824400000000001,12.0
2021-01-06,-13.3366,18.0
2021-01-11,5.6325,25.0
2021-01-12,-0.7983999999999991,32.0
2021-01-13,-5.029299999999999,39.0
2021-01-18,12.258500000000002,45.0
2021-01-19,6.7463000000000015,51.0
2021-01-20,-1.5219999999999985,60.0
2021-01-25,1.365800000000001,66.0
2021-01-26,-4.146399999999999,72.0
2021-01-27,3.922699999999998,79.0
2021-02-10,-3.4269000000000016,87.0
2021-02-15,-2.7765000000000017,95.0
2021-02-16,-8.288700000000002,101.0
2021-02-17,-8.057000000000002,110.0
2021-02-23,-12.650500000000001,115.0
2021-02-24,-6.6814,122.0
2021-03-01,-5.8497,131.0
2021-03-02,-12.2806,138.0
2021-03-03,18.144599999999993,142.0
2021-03-08,15.232399999999993,148.0
2021-03-09,15.620199999999993,154.0
2021-03-10,21.270599999999995,162.0
2021-03-15,17.595799999999993,166.0
2021-03-16,20.846199999999993,174.0
2021-03-17,30.071399999999993,178.0
2021-03-22,25.477899999999995,183.0
2021-03-23,18.128299999999996,191.0
2021-03-24,14.278699999999995,199.0
2021-03-29,9.685199999999995,204.0
2021-03-30,5.091699999999995,209.0
2021-03-31,1.4168999999999952,213.0
2021-04-05,6.260799999999994,216.0
2021-04-06,4.585999999999994,220.0
2021-04-07,2.7550999999999934,227.0
2021-04-12,26.524199999999993,234.0
2021-04-13,28.393299999999993,241.0
2021-04-14,21.962399999999995,248.0
