Date,target_10
2020-07-03,-4.485
2020-07-04,-6.367000000000001
2020-07-09,-8.846000000000002
2020-07-10,-16.022000000000002
2020-07-11,-21.404000000000003
2020-07-16,-26.786
2020-07-17,-30.374000000000002
2020-07-18,-28.356
2020-07-23,-33.832
2020-07-24,-39.214
2020-07-25,-42.096
2020-07-30,-46.580999999999996
2020-07-31,-44.36599999999999
2020-08-01,-51.541999999999994
2020-08-06,-57.821
2020-08-07,-63.202999999999996
2020-08-13,-58.476
2020-08-14,-62.961
2020-08-15,-65.652
2020-08-20,-71.034
2020-08-21,-77.313
2020-08-27,-84.489
2020-08-28,-68.168
2020-08-29,-69.05300000000001
