Date,target_10,nb_races
2021-01-01,-0.5518000000000002,6.0
2021-01-02,-6.403600000000001,12.0
2021-01-03,-12.255400000000002,18.0
2021-01-08,-19.082500000000003,25.0
2021-01-09,-24.934300000000004,31.0
2021-01-10,-29.810800000000004,36.0
2021-01-15,-34.68730000000001,41.0
2021-01-16,-35.539100000000005,47.0
2021-01-17,-40.415600000000005,52.0
2021-01-18,-44.31680000000001,56.0
2021-01-22,-50.16860000000001,62.0
2021-01-23,-41.84510000000001,67.0
2021-01-24,-45.74630000000001,71.0
2021-01-30,-40.79690000000001,73.0
2021-01-31,-45.67340000000001,78.0
2021-02-05,-51.52520000000001,84.0
2021-02-06,-55.22760000000001,92.0
2021-02-07,-59.12880000000001,96.0
2021-02-12,-64.98060000000001,102.0
2021-02-13,-66.15710000000001,107.0
2021-02-14,-70.05830000000002,111.0
2021-02-15,-66.68540000000002,118.0
2021-02-19,-70.58660000000002,122.0
2021-02-20,-63.663100000000014,127.0
2021-02-21,-42.51490000000001,133.0
2021-02-26,-44.46550000000001,135.0
2021-02-27,-50.31730000000002,141.0
2021-02-28,-50.918500000000016,145.0
2021-03-05,-54.81970000000002,149.0
2021-03-06,-51.57150000000002,155.0
2021-03-07,-47.622100000000025,157.0
2021-03-12,-54.449200000000026,164.0
2021-03-13,-47.325700000000026,169.0
2021-03-14,-11.32690000000003,173.0
2021-03-19,-14.25280000000003,176.0
2021-03-20,-17.17870000000003,179.0
2021-03-21,-21.07990000000003,183.0
2021-03-26,-17.805800000000033,186.0
2021-03-28,-20.731700000000032,189.0
2021-04-02,-23.65760000000003,192.0
2021-04-03,8.61529999999997,199.0
2021-04-04,15.864699999999969,201.0
2021-04-10,11.963499999999968,205.0
2021-04-11,8.062299999999968,209.0
