Date,target_10,nb_races
2021-01-01,-3.5747999999999998,4.0
2021-01-02,-8.937,10.0
2021-01-06,-12.4866,18.0
2021-01-07,-5.442499999999999,25.0
2021-01-08,-12.592099999999999,33.0
2021-01-09,-13.360599999999998,38.0
2021-01-14,-19.6165,45.0
2021-01-15,-23.1913,49.0
2021-01-16,-25.8724,52.0
2021-01-21,-30.340899999999998,57.0
2021-01-22,-21.0968,64.0
2021-01-23,-26.459000000000003,70.0
2021-01-28,-31.821200000000005,76.0
2021-01-29,-36.2897,81.0
2021-01-30,-38.0771,83.0
2021-02-04,-44.333,90.0
2021-02-05,-49.6952,96.0
2021-02-06,-53.269999999999996,100.0
2021-02-24,-57.738499999999995,105.0
2021-02-25,-63.100699999999996,111.0
2021-02-26,-54.150299999999994,119.0
2021-02-27,-55.21249999999999,125.0
2021-03-03,-53.98099999999999,130.0
2021-03-04,-54.45579999999999,134.0
2021-03-05,-59.81799999999999,140.0
2021-03-06,-63.392799999999994,144.0
2021-03-10,-61.16759999999999,148.0
2021-03-11,-64.74239999999999,152.0
2021-03-12,-62.70459999999999,158.0
2021-03-13,-66.2794,162.0
2021-03-17,-68.9605,165.0
2021-03-18,-72.53529999999999,169.0
2021-03-19,-72.40379999999999,174.0
2021-03-20,-67.18489999999998,177.0
2021-03-24,-70.75969999999998,181.0
2021-03-25,-58.821899999999985,187.0
2021-03-26,-64.18409999999999,193.0
2021-03-27,-49.53369999999998,201.0
