Date,target_10,nb_races
2021-01-04,2.1632000000000002,8.0
2021-01-05,-0.5505999999999998,11.0
2021-01-06,-7.7874,19.0
2021-01-07,-12.3104,24.0
2021-01-08,-13.438,30.0
2021-01-11,-14.4564,34.0
2021-01-12,-14.765600000000001,36.0
2021-01-13,-18.1932,42.0
2021-01-14,-17.5024,44.0
2021-01-15,-19.311600000000002,46.0
2021-01-18,-22.930000000000003,50.0
2021-01-19,-24.553000000000004,55.0
2021-01-20,-31.789800000000003,63.0
2021-01-21,-29.917400000000004,69.0
2021-01-22,-31.131200000000003,72.0
2021-01-26,-36.558800000000005,78.0
2021-01-27,-40.177200000000006,82.0
2021-01-28,-38.409400000000005,89.0
2021-01-29,-39.9324,94.0
2021-02-01,-46.2646,101.0
2021-02-02,-50.7876,106.0
2021-02-03,-48.406,110.0
2021-02-04,-52.0244,114.0
2021-02-05,-54.6566,121.0
2021-02-08,-55.9842,127.0
2021-02-09,-50.4164,134.0
2021-02-10,-53.1302,137.0
2021-02-11,-49.644000000000005,140.0
2021-02-12,-42.65780000000001,143.0
2021-02-17,-46.27620000000001,147.0
2021-02-18,-46.79460000000001,151.0
2021-02-19,-50.41300000000001,155.0
2021-02-22,-55.84060000000001,161.0
2021-02-23,-58.26820000000001,167.0
2021-02-24,-63.695800000000006,173.0
2021-03-01,-67.3142,177.0
2021-03-02,-51.641799999999996,183.0
2021-03-03,-42.15559999999999,186.0
2021-03-04,-43.078599999999994,191.0
2021-03-05,-44.20159999999999,196.0
2021-03-08,-44.429199999999994,202.0
2021-03-09,-49.85679999999999,208.0
2021-03-10,-54.37979999999999,213.0
2021-03-11,-55.10279999999999,218.0
2021-03-12,-60.530399999999986,224.0
2021-03-15,-63.457999999999984,230.0
2021-03-16,-57.094799999999985,238.0
2021-03-17,-59.42239999999998,244.0
2021-03-18,-62.13619999999998,247.0
2021-03-19,-65.75459999999998,251.0
2021-03-22,-67.88679999999998,258.0
2021-03-23,-75.12359999999998,266.0
2021-03-24,-74.73739999999998,269.0
2021-03-25,-77.45119999999999,272.0
2021-03-26,-81.06959999999998,276.0
2021-03-29,-70.68799999999997,280.0
2021-03-30,-66.41099999999997,285.0
2021-03-31,-57.32939999999997,289.0
2021-04-01,-61.852399999999975,294.0
2021-04-02,-65.47079999999997,298.0
2021-04-05,-69.99379999999996,303.0
2021-04-06,-74.51679999999996,308.0
2021-04-07,-77.53979999999996,313.0
2021-04-08,-80.25359999999996,316.0
2021-04-09,-68.58119999999997,322.0
2021-04-12,-66.61339999999997,329.0
2021-04-13,-39.95019999999997,337.0
2021-04-14,-34.673199999999966,342.0
