Date,target_10
2020-06-06,-7.42
2020-06-07,4.260000000000002
2020-06-11,-0.3774999999999986
2020-06-13,-4.124999999999999
2020-06-14,-7.749999999999998
2020-06-18,-13.314999999999998
2020-06-19,-17.025
2020-06-20,-22.589999999999996
2020-06-21,-27.227499999999996
2020-06-25,-30.937499999999996
2020-06-26,-28.097499999999997
2020-06-27,-34.589999999999996
2020-06-28,-42.01
2020-07-02,-39.574999999999996
2020-07-03,-44.2125
2020-07-04,-46.9375
2020-07-05,-44.04
2020-07-09,-43.31
2020-07-10,-18.947499999999998
2020-07-11,-0.19000000000000128
2020-07-12,-1.6875000000000016
2020-07-16,-1.4475000000000013
2020-07-17,-7.012500000000001
2020-07-18,-7.032500000000001
2020-07-19,-13.525
2020-07-23,-20.0175
2020-07-24,-23.259999999999998
2020-07-25,-21.575
2020-07-26,-28.0675
2020-07-30,-30.849999999999998
2020-07-31,-36.415
2020-08-01,-45.69
2020-08-02,-53.11
2020-08-06,-35.8425
2020-08-07,-40.480000000000004
2020-08-08,-37.900000000000006
2020-08-09,-44.392500000000005
2020-08-13,-47.175000000000004
2020-08-14,-51.81250000000001
2020-08-15,-56.45000000000001
2020-08-16,-43.06500000000001
2020-08-20,-43.20750000000001
2020-08-21,-43.22250000000001
2020-08-22,-46.14250000000001
2020-08-23,-51.44000000000001
2020-08-27,-56.077500000000015
2020-08-28,-56.71500000000002
2020-08-29,-65.06250000000001
2020-08-30,-70.53750000000001
2020-09-03,-76.1025
2020-09-04,-81.6675
2020-09-05,-88.16
2020-09-06,-92.10249999999999
2020-09-07,-91.82249999999999
2020-09-11,-98.315
2020-09-12,-96.09
2020-09-13,-95.4825
2020-09-17,-85.57
2020-09-18,-90.2075
2020-09-19,-98.55499999999999
2020-09-20,-107.83
2020-09-24,-114.32249999999999
2020-09-25,-119.88749999999999
2020-09-26,-127.30749999999999
2020-09-27,-135.655
2020-10-01,-137.92000000000002
2020-10-02,-138.0575
2020-10-03,-137.6325
2020-10-04,-145.98
2020-10-08,-150.61749999999998
2020-10-09,-146.75499999999997
2020-10-10,-142.22499999999997
2020-10-11,-146.86249999999995
2020-10-15,-141.20499999999996
2020-10-16,-144.91499999999996
2020-10-17,-140.70249999999996
2020-10-18,-146.26749999999996
2020-10-22,-149.56499999999997
2020-10-23,-154.20249999999996
2020-10-24,-163.47749999999996
2020-10-25,-170.89749999999995
2020-10-29,-176.46249999999995
2020-10-30,-175.65499999999994
2020-10-31,-178.64749999999995
2020-11-01,-184.21249999999995
2020-11-05,-186.67749999999995
2020-11-06,-169.44749999999996
2020-11-07,-172.22249999999997
2020-11-08,-168.86999999999998
2020-11-12,-174.43499999999997
2020-11-13,-171.50499999999997
2020-11-14,-177.27999999999997
2020-11-19,-176.47249999999997
2020-11-20,-175.21999999999997
2020-11-21,-179.81249999999997
2020-11-22,-184.44999999999996
