Date,target_10
2021-01-16,1.0012999999999999
2021-01-21,0.1025999999999998
2021-01-28,-0.7961000000000003
2021-02-04,-2.5935000000000006
2021-02-06,-4.3909
2021-02-12,-5.2896
2021-02-24,-7.087
2021-02-26,-7.9857
2021-02-27,-9.7831
2021-03-03,-10.681799999999999
2021-03-05,-11.580499999999999
2021-03-06,-13.377899999999999
2021-03-10,-12.775299999999998
2021-03-11,-13.271399999999998
2021-03-12,-14.170099999999998
2021-03-13,-5.666199999999998
2021-03-18,-6.564899999999998
2021-03-20,-10.159699999999997
2021-03-24,-11.058399999999997
2021-03-25,-12.855799999999997
2021-03-26,-7.6531999999999965
2021-03-27,-9.450599999999996
2021-03-31,-11.247999999999996
2021-04-01,-12.146699999999996
2021-04-03,-4.245399999999995
