Date,target_10
2021-01-01,-4.734999999999999
2021-01-03,-5.6819999999999995
2021-01-08,-3.2229999999999994
2021-01-09,-4.169999999999999
2021-01-10,-7.957999999999998
2021-01-15,-9.851999999999999
2021-01-16,-11.745999999999999
2021-01-17,-12.692999999999998
2021-01-18,-9.586999999999998
2021-01-23,-10.533999999999997
2021-01-24,-12.427999999999997
2021-01-29,-15.268999999999997
2021-01-30,-18.109999999999996
2021-02-04,-20.003999999999994
2021-02-05,-21.897999999999993
2021-02-06,-24.738999999999994
2021-02-07,-27.579999999999995
2021-02-12,-28.526999999999994
2021-02-15,-29.473999999999993
2021-02-20,-30.420999999999992
2021-02-21,-37.04999999999999
2021-02-25,-40.83799999999999
2021-02-26,-43.67899999999999
2021-02-27,-44.62599999999999
2021-02-28,-47.46699999999999
2021-03-05,-48.413999999999994
2021-03-06,-49.361
2021-03-07,-50.308
2021-03-13,-51.255
2021-03-14,-53.149
2021-03-19,-49.096000000000004
2021-03-20,-50.043000000000006
2021-03-21,-40.831
2021-04-08,-45.566
2021-04-09,-40.46
2021-04-10,-47.089
2021-04-11,-48.983
