Date,target_10
2021-01-04,-2.7561
2021-01-05,-3.6748
2021-01-06,-4.5935
2021-01-12,-5.5122
2021-01-16,-7.3496
2021-01-18,-10.105699999999999
2021-01-19,-11.024399999999998
2021-01-20,-11.943099999999998
2021-01-23,-12.861799999999997
2021-01-25,-10.236599999999997
2021-01-26,-12.073999999999998
2021-01-27,-12.992699999999997
2021-01-30,-15.748799999999997
2021-02-01,-20.342299999999998
2021-02-06,-23.098399999999998
2021-02-09,-24.0171
2021-02-10,-27.6919
2021-02-13,-28.6106
2021-02-15,-31.3667
2021-02-16,-31.922800000000002
2021-02-17,-34.6789
2021-02-20,-36.5163
2021-02-22,-38.3537
2021-02-27,-35.191100000000006
2021-03-01,-37.94720000000001
2021-03-02,-39.78460000000001
2021-03-03,-40.70330000000001
2021-03-06,-42.540700000000015
2021-03-08,-45.29680000000002
2021-03-10,-43.63420000000002
2021-03-13,-47.30900000000002
2021-03-15,-50.065100000000015
2021-03-16,-52.82120000000002
2021-03-17,-53.73990000000002
2021-03-22,-55.57730000000002
2021-03-23,-58.333400000000026
2021-03-24,-59.25210000000003
2021-03-27,-55.88950000000003
2021-03-29,-56.80820000000003
2021-03-30,-58.64560000000003
2021-03-31,-60.48300000000003
2021-04-03,-61.401700000000034
2021-04-05,-64.15780000000004
2021-04-07,-65.99520000000004
2021-04-10,-67.83260000000004
2021-04-12,-64.90740000000004
2021-04-13,-65.82610000000004
2021-04-14,-69.50090000000004
