Date,target_10
2021-01-08,-1.8174
2021-01-13,-2.7260999999999997
2021-01-15,-3.6348
2021-01-20,-6.360899999999999
2021-01-22,-7.269599999999999
2021-01-27,-8.178299999999998
2021-01-29,-1.8043999999999993
2021-02-03,-2.7130999999999994
2021-02-05,3.869500000000001
2021-02-10,1.143400000000001
2021-02-12,0.23470000000000113
2021-02-17,-0.6739999999999988
2021-02-26,-4.308799999999999
2021-03-03,-7.034899999999999
2021-03-05,-9.978399999999997
2021-03-10,-10.887099999999997
2021-03-12,-12.704499999999996
2021-03-17,-16.339299999999994
2021-03-19,-17.247999999999994
2021-03-24,-17.682799999999993
2021-03-26,-18.591499999999993
2021-03-31,-5.517599999999991
2021-04-02,-8.24369999999999
2021-04-07,-11.87849999999999
2021-04-09,-14.60459999999999
2021-04-14,-18.23939999999999
