Date,target_10
2021-01-02,-1.881
2021-01-09,-2.8215
2021-01-10,-1.3025
2021-01-13,-2.243
2021-01-17,-3.1835
2021-01-20,-4.124
2021-01-22,-6.005
2021-01-23,-7.886
2021-01-24,-8.8265
2021-01-27,-9.767
2021-01-29,-10.7075
2021-01-30,-12.5885
2021-01-31,-12.269499999999999
2021-02-03,-14.1505
2021-02-05,-15.091
2021-02-06,-16.031499999999998
2021-02-10,-18.852999999999998
2021-02-12,-19.793499999999998
2021-02-13,-18.374499999999998
2021-02-14,-18.255499999999998
2021-02-17,-19.195999999999998
2021-02-19,-20.136499999999998
2021-02-20,-22.0175
2021-02-21,-14.857999999999999
2021-02-24,-16.738999999999997
2021-02-26,-17.679499999999997
2021-02-27,-19.560499999999998
2021-02-28,-21.441499999999998
2021-03-03,-22.381999999999998
2021-03-05,-23.322499999999998
2021-03-06,-24.262999999999998
2021-03-07,-26.144
2021-03-12,-22.424999999999997
2021-03-13,-24.305999999999997
2021-03-17,-27.127499999999998
2021-03-19,-28.067999999999998
2021-03-20,-29.008499999999998
2021-03-21,-29.948999999999998
2021-03-24,-30.889499999999998
2021-03-26,-31.83
2021-03-27,-32.7705
2021-03-31,-31.432499999999997
2021-04-02,-32.373
2021-04-07,-28.4945
2021-04-09,-32.256499999999996
2021-04-10,-36.958999999999996
2021-04-14,-26.399499999999996
