Date,target_10
2021-01-07,-0.8936999999999999
2021-01-08,-1.7873999999999999
2021-01-21,-2.6811
2021-01-23,-3.5747999999999998
2021-01-28,-4.4685
2021-02-04,-5.3622
2021-02-06,-6.2559
2021-02-24,-8.043299999999999
2021-02-25,-8.936999999999998
2021-02-27,-9.830699999999997
2021-03-10,-5.818099999999997
2021-03-11,-6.711799999999997
2021-03-12,-7.605499999999997
2021-03-13,-8.499199999999997
2021-03-17,-9.392899999999997
2021-03-18,-10.286599999999996
2021-03-19,-12.073999999999996
2021-03-24,-13.861399999999996
2021-03-25,-15.648799999999996
2021-03-26,-16.542499999999997
