Date,target_10
2021-01-22,-0.9046
2021-01-26,0.6908
2021-01-27,-0.2138
2021-01-29,0.9770000000000001
2021-02-01,-0.8321999999999998
2021-02-03,-2.6414
2021-02-05,-3.546
2021-02-09,-5.3552
2021-02-12,-6.2598
2021-02-17,-7.1644000000000005
2021-02-22,-8.0828
2021-02-23,-6.892
2021-03-01,-7.796600000000001
2021-03-03,-9.6058
2021-03-05,-10.5104
2021-03-08,-13.2242
2021-03-09,-16.8426
2021-03-10,-14.651800000000001
2021-03-11,-15.556400000000002
2021-03-12,-17.3656
2021-03-16,-20.984
2021-03-17,-21.8886
2021-03-18,-22.7932
2021-03-19,-24.6024
2021-03-22,-26.4116
2021-03-23,-29.1254
2021-03-24,-26.8346
2021-03-25,-27.739199999999997
2021-03-26,-29.548399999999997
2021-03-29,-30.452999999999996
2021-03-30,-32.26219999999999
2021-03-31,-34.07139999999999
2021-04-01,-30.47599999999999
2021-04-05,-31.380599999999987
2021-04-06,-33.189799999999984
2021-04-07,-34.40359999999998
2021-04-08,-36.21279999999998
2021-04-09,-37.11739999999998
2021-04-12,-33.92659999999998
2021-04-13,-34.83119999999998
2021-04-14,-33.13579999999998
