Date,target_10,nb_races
2021-01-01,-2.8005,3.0
2021-01-02,-2.368,8.0
2021-01-03,-3.3015,9.0
2021-01-07,-4.252,12.0
2021-01-08,0.8639999999999999,16.0
2021-01-09,-3.8035000000000005,21.0
2021-01-10,-6.604000000000001,24.0
2021-01-16,-8.471,26.0
2021-01-17,-6.5715,29.0
2021-01-18,-4.9385,31.0
2021-01-21,-5.872,32.0
2021-01-22,2.5275,35.0
2021-01-23,1.1269999999999996,38.0
2021-01-24,-2.607,42.0
2021-01-28,-6.341,46.0
2021-01-30,-10.075,50.0
2021-01-31,-14.7425,55.0
2021-02-04,-14.01,60.0
2021-02-05,-15.876999999999999,62.0
2021-02-06,-21.477999999999998,68.0
2021-02-08,-18.8955,73.0
2021-02-12,-21.695999999999998,76.0
2021-02-13,-25.43,80.0
2021-02-14,-25.2305,83.0
2021-02-15,-26.163999999999998,84.0
2021-02-19,-28.964499999999997,87.0
2021-02-20,-30.064999999999998,90.0
2021-02-21,-33.799,94.0
2021-02-25,-36.5995,97.0
2021-02-26,-40.3335,101.0
2021-02-27,-38.034,104.0
2021-02-28,-35.9845,107.0
2021-03-05,-20.418499999999995,111.0
2021-03-06,-23.218999999999994,114.0
2021-03-07,-28.819999999999993,120.0
2021-03-12,-32.553999999999995,124.0
2021-03-13,-36.288,128.0
2021-03-14,-35.305,130.0
2021-03-19,-36.2385,131.0
2021-03-20,-35.8725,135.0
2021-03-21,-30.756500000000003,139.0
2021-03-25,-32.6235,141.0
2021-03-26,-17.391000000000002,146.0
2021-03-27,-18.591500000000003,149.0
2021-03-28,-21.392000000000003,152.0
2021-04-01,-22.3255,153.0
2021-04-02,-23.759500000000003,157.0
2021-04-03,-22.060000000000002,160.0
2021-04-08,-23.0605,163.0
2021-04-09,-27.728,168.0
2021-04-10,-30.5285,171.0
2021-04-11,-33.329,174.0
