Date,target_10,nb_races
2021-01-06,2.9814,3.0
2021-01-07,0.2627999999999999,6.0
2021-01-08,-4.380599999999999,13.0
2021-01-09,-3.5991999999999997,16.0
2021-01-13,-5.017799999999999,19.0
2021-01-14,-5.9239999999999995,20.0
2021-01-16,-6.355,25.0
2021-01-20,-11.792200000000001,31.0
2021-01-21,-10.223200000000002,36.0
2021-01-22,-12.035600000000002,38.0
2021-01-23,-13.848000000000003,40.0
2021-01-27,-17.472800000000003,44.0
2021-01-28,-21.097600000000003,48.0
2021-01-29,-21.716200000000004,51.0
2021-01-30,-19.047200000000004,56.0
2021-02-03,-18.353400000000004,57.0
2021-02-04,-16.984400000000004,62.0
2021-02-05,-17.596800000000005,64.0
2021-02-06,-19.409200000000006,66.0
2021-02-11,-20.727800000000006,69.0
2021-02-12,-21.146400000000007,72.0
2021-02-13,-24.771200000000007,76.0
2021-02-17,-27.489800000000006,79.0
2021-02-20,-30.208400000000005,82.0
2021-02-24,-32.0208,84.0
2021-02-25,-34.7394,87.0
2021-02-26,-35.0518,89.0
2021-02-27,-36.2704,92.0
2021-03-03,-29.401400000000002,97.0
2021-03-04,-29.62,100.0
2021-03-05,-31.9448,104.0
2021-03-06,-29.369600000000002,108.0
2021-03-10,-27.688200000000002,111.0
2021-03-11,-29.225400000000004,117.0
2021-03-12,-29.544000000000004,120.0
2021-03-13,-27.868800000000004,124.0
2021-03-17,-26.581200000000003,126.0
2021-03-18,-29.2998,129.0
2021-03-19,-30.8246,133.0
2021-03-20,-29.8494,137.0
2021-03-24,-28.468,140.0
2021-03-25,-24.5928,144.0
2021-03-26,-21.2176,148.0
2021-03-27,-19.630000000000003,150.0
2021-03-31,-16.448600000000003,153.0
2021-04-01,-6.173400000000004,157.0
2021-04-02,-10.510600000000004,163.0
2021-04-07,-13.229200000000004,166.0
2021-04-08,-12.366400000000004,172.0
2021-04-09,-11.103600000000004,178.0
2021-04-10,-9.622200000000003,181.0
2021-04-14,-9.147000000000004,185.0
