Date,target_10,nb_races
2021-01-15,-0.9691,1.0
2021-01-16,-2.9072999999999998,3.0
2021-01-17,-7.752799999999999,8.0
2021-01-18,-8.5292,12.0
2021-01-22,-4.4674,14.0
2021-01-23,-10.020199999999999,22.0
2021-01-24,-10.7966,26.0
2021-01-28,-4.073,30.0
2021-01-29,-6.1876,36.0
2021-01-30,-9.133099999999999,41.0
2021-01-31,-10.1404,44.0
2021-02-04,-2.6549999999999994,50.0
2021-02-05,-6.5314,54.0
2021-02-06,-9.745999999999999,60.0
2021-02-07,-14.591499999999998,65.0
2021-02-11,-12.298799999999998,68.0
2021-02-12,-13.975199999999997,72.0
2021-02-13,-13.713399999999996,74.0
2021-02-14,-13.658899999999996,79.0
2021-02-15,-17.073499999999996,85.0
2021-02-19,-17.249899999999997,89.0
2021-02-20,-16.057199999999998,92.0
2021-02-21,-16.333599999999997,96.0
2021-02-25,-19.240899999999996,99.0
2021-02-26,-9.417299999999997,103.0
2021-02-27,-14.262799999999997,108.0
2021-02-28,-18.139199999999995,112.0
2021-03-04,-16.108299999999996,113.0
2021-03-05,-12.353799999999996,118.0
2021-03-06,-15.261099999999995,121.0
2021-03-07,-17.199299999999994,123.0
2021-03-11,-15.406599999999994,126.0
2021-03-12,-17.290299999999995,133.0
2021-03-13,-22.573999999999995,140.0
2021-03-14,-27.419499999999992,145.0
2021-03-18,-19.626799999999992,148.0
2021-03-19,-19.472299999999994,153.0
2021-03-20,-22.686899999999994,159.0
2021-03-21,-18.494199999999996,162.0
2021-03-25,-7.570599999999997,166.0
2021-03-26,-10.216099999999997,171.0
2021-03-27,-14.092499999999998,175.0
2021-03-28,-11.599799999999998,178.0
2021-04-01,-12.907099999999998,181.0
2021-04-02,-14.014399999999998,184.0
2021-04-03,-19.828999999999997,190.0
2021-04-04,-20.267199999999995,192.0
2021-04-08,-19.974499999999995,195.0
2021-04-09,-22.250899999999994,199.0
2021-04-10,-23.134599999999995,206.0
2021-04-11,-21.572799999999994,208.0
