Date,target_10,nb_races
2021-01-08,-1.7974,2.0
2021-01-09,-3.5948,4.0
2021-01-14,-5.392200000000001,6.0
2021-01-15,-6.290900000000001,7.0
2021-01-16,-6.8870000000000005,10.0
2021-01-21,-5.680500000000001,15.0
2021-01-22,-2.0753000000000013,19.0
2021-01-23,-2.9688000000000008,24.0
2021-01-28,-8.361,30.0
2021-01-29,-11.057100000000002,33.0
2021-01-30,-11.955800000000002,34.0
2021-01-31,-12.949300000000001,39.0
2021-02-04,-10.642800000000001,44.0
2021-02-05,-6.640200000000001,46.0
2021-02-06,-8.437600000000002,48.0
2021-02-10,-10.131100000000002,53.0
2021-02-11,-11.029800000000002,54.0
2021-02-12,-4.9259,57.0
2021-02-13,-8.520700000000001,61.0
2021-02-24,-10.714200000000002,66.0
2021-02-25,-13.410300000000003,69.0
2021-02-26,-16.106400000000004,72.0
2021-02-27,-17.903800000000004,74.0
2021-03-03,-18.299900000000004,77.0
2021-03-04,-12.696000000000005,80.0
2021-03-05,3.207899999999995,83.0
2021-03-06,3.5130999999999952,87.0
2021-03-10,7.120899999999995,93.0
2021-03-11,5.928699999999996,99.0
2021-03-12,6.031299999999995,101.0
2021-03-13,5.936499999999995,105.0
2021-03-17,4.341699999999995,109.0
2021-03-18,10.546899999999996,113.0
2021-03-19,15.852099999999997,117.0
2021-03-20,13.155999999999995,120.0
2021-03-24,9.561199999999996,124.0
2021-03-25,8.967699999999997,129.0
2021-03-26,6.271599999999997,132.0
2021-03-27,6.776799999999996,136.0
2021-03-31,4.9793999999999965,138.0
2021-04-01,5.984599999999996,142.0
2021-04-02,4.187199999999995,144.0
2021-04-03,2.8910999999999953,147.0
