Date,target_10,nb_races
2021-01-01,-0.08139999999999996,2.0
2021-01-03,-1.0221,3.0
2021-01-08,-1.7035,5.0
2021-01-10,-1.7849,7.0
2021-01-15,-0.22560000000000002,8.0
2021-01-16,-2.107,10.0
2021-01-17,1.9116,12.0
2021-01-22,0.9709,13.0
2021-01-24,0.030200000000000005,14.0
2021-01-30,-1.8512,16.0
2021-01-31,-2.7919,17.0
2021-02-12,-4.6733,19.0
2021-02-14,-6.5547,21.0
2021-02-19,-7.4954,22.0
2021-02-20,-4.276800000000001,24.0
2021-02-21,-6.158200000000001,26.0
2021-02-26,-7.0989,27.0
2021-02-27,-6.0396,28.0
2021-02-28,-7.921,30.0
2021-03-07,-9.8024,32.0
2021-03-12,-10.7431,33.0
2021-03-13,-12.6245,35.0
2021-03-14,-14.505899999999999,37.0
2021-03-19,-13.1466,38.0
2021-03-21,-15.027999999999999,40.0
2021-03-27,-16.909399999999998,42.0
2021-03-28,-16.350099999999998,43.0
2021-04-02,-17.290799999999997,44.0
2021-04-03,-17.031499999999998,45.0
2021-04-09,-18.912899999999997,47.0
2021-04-10,-19.853599999999997,48.0
2021-04-11,-19.594299999999997,49.0
