Date,target_10,nb_races
2021-01-01,-1.894,2.0
2021-01-02,4.017999999999999,6.0
2021-01-03,0.6829999999999994,11.0
2021-01-08,-2.1580000000000004,14.0
2021-01-09,0.6009999999999991,17.0
2021-01-10,-3.1870000000000007,21.0
2021-01-15,-6.9750000000000005,25.0
2021-01-16,-9.816,28.0
2021-01-17,-14.551,33.0
2021-01-18,-17.392,36.0
2021-01-22,-20.233,39.0
2021-01-23,-24.968,44.0
2021-01-24,-26.209,47.0
2021-01-29,-27.444,52.0
2021-01-30,-28.391,53.0
2021-02-04,-26.131999999999998,56.0
2021-02-05,-29.366999999999997,61.0
2021-02-06,-28.313999999999997,62.0
2021-02-07,-30.948999999999998,67.0
2021-02-12,-33.79,70.0
2021-02-15,-34.077999999999996,74.0
2021-02-20,-36.919,77.0
2021-02-21,-39.76,80.0
2021-02-25,-44.495,85.0
2021-02-26,-48.282999999999994,89.0
2021-02-27,-47.023999999999994,92.0
2021-02-28,-49.40599999999999,98.0
2021-03-05,-52.24699999999999,101.0
2021-03-06,-54.98199999999999,106.0
2021-03-07,-58.11699999999999,111.0
2021-03-13,-58.80499999999999,115.0
2021-03-14,-56.492999999999995,119.0
2021-03-19,-56.175,125.0
2021-03-20,-55.516,128.0
2021-03-21,-59.303999999999995,132.0
2021-04-08,-62.144999999999996,135.0
2021-04-10,-63.733,139.0
2021-04-11,-67.521,143.0
