Date,target_10,nb_races
2021-01-02,3.1439000000000004,3.0
2021-01-04,1.3065000000000004,5.0
2021-01-06,-0.5308999999999995,7.0
2021-01-09,0.4317000000000003,9.0
2021-01-11,-0.4243999999999998,12.0
2021-01-12,1.5194999999999994,15.0
2021-01-13,-0.3179000000000005,17.0
2021-01-16,-1.2366000000000006,18.0
2021-01-18,-2.1553000000000004,19.0
2021-01-19,-5.8301,23.0
2021-01-20,-6.7488,24.0
2021-01-23,-8.5862,26.0
2021-01-25,-9.5049,27.0
2021-01-26,-8.261,30.0
2021-01-27,-8.798399999999999,32.0
2021-01-30,-7.335799999999999,34.0
2021-02-01,-10.091899999999999,37.0
2021-02-02,-5.748,40.0
2021-02-03,-6.104100000000001,43.0
2021-02-06,-3.5415000000000005,45.0
2021-02-08,-1.3976000000000006,48.0
2021-02-09,-3.2350000000000003,50.0
2021-02-10,-5.9911,53.0
2021-02-13,-8.7472,56.0
2021-02-15,-11.5033,59.0
2021-02-16,-9.0407,61.0
2021-02-17,-10.9155,65.0
2021-02-20,-7.652900000000001,67.0
2021-02-22,-7.409000000000001,70.0
2021-02-24,-6.946400000000001,72.0
2021-02-27,-8.783800000000001,74.0
2021-03-01,-8.502500000000001,75.0
2021-03-02,-10.339900000000002,77.0
2021-03-03,-12.333400000000001,82.0
2021-03-06,-10.170800000000002,84.0
2021-03-08,-12.926900000000002,87.0
2021-03-09,-14.083000000000002,90.0
2021-03-10,-16.839100000000002,93.0
2021-03-13,-17.757800000000003,94.0
2021-03-15,-20.513900000000003,97.0
2021-03-16,-23.270000000000003,100.0
2021-03-17,-22.207400000000003,102.0
2021-03-20,-23.782200000000003,106.0
2021-03-22,-20.675700000000003,111.0
2021-03-23,-21.594400000000004,112.0
2021-03-24,-21.969200000000004,116.0
2021-03-27,-18.606600000000004,118.0
2021-03-29,-12.544000000000004,120.0
2021-03-30,-14.381400000000005,122.0
2021-03-31,-16.218800000000005,124.0
2021-04-03,-13.312300000000004,129.0
2021-04-05,-14.087100000000005,133.0
2021-04-06,-14.643200000000004,136.0
2021-04-07,-19.236700000000003,141.0
2021-04-10,-20.155400000000004,142.0
2021-04-12,-16.030200000000004,146.0
2021-04-13,-16.086300000000005,149.0
2021-04-14,-19.761100000000006,153.0
