Date,target_10,nb_races
2021-01-04,-3.6748,4.0
2021-01-05,-1.6308999999999996,7.0
2021-01-06,-3.4682999999999993,9.0
2021-01-11,7.975599999999998,12.0
2021-01-12,6.6633999999999975,18.0
2021-01-13,6.107299999999998,21.0
2021-01-18,3.3511999999999977,24.0
2021-01-19,2.4950999999999977,27.0
2021-01-20,1.5763999999999978,28.0
2021-01-25,-2.098400000000002,32.0
2021-01-26,-5.773200000000002,36.0
2021-01-27,4.833299999999999,41.0
2021-02-10,7.958499999999999,45.0
2021-02-15,12.339799999999999,46.0
2021-02-16,8.665,50.0
2021-02-17,3.152799999999999,56.0
2021-02-23,1.1779999999999993,60.0
2021-02-24,3.665799999999999,66.0
2021-03-01,-0.009000000000000785,70.0
2021-03-02,-0.9277000000000007,71.0
2021-03-03,-0.14640000000000075,72.0
2021-03-08,-6.5773,79.0
2021-03-09,-9.333400000000001,82.0
2021-03-10,-3.789500000000001,85.0
2021-03-15,-0.6082000000000014,86.0
2021-03-16,-4.283000000000001,90.0
2021-03-17,-2.6578000000000017,94.0
2021-03-22,-6.332600000000001,98.0
2021-03-23,-7.426100000000001,103.0
2021-03-24,-8.5196,108.0
2021-03-29,-11.2757,111.0
2021-03-30,-15.8692,116.0
2021-03-31,-18.8627,121.0
2021-04-05,-21.1375,125.0
2021-04-06,-20.631,130.0
2021-04-07,-18.0058,134.0
2021-04-12,-13.7619,137.0
2021-04-13,-14.018,140.0
2021-04-14,-9.9928,144.0
