Date,target_10
2020-06-04,-3.668
2020-06-09,-5.303
2020-06-10,-6.754
2020-06-11,-10.756
2020-06-12,-16.258000000000003
2020-06-16,-16.926000000000002
2020-06-17,-14.894000000000002
2020-06-18,-14.579
2020-06-19,-15.964
2020-06-23,-17.432
2020-06-24,-21.099999999999998
2020-06-25,-23.851
2020-06-26,-22.369999999999997
2020-06-30,-22.903999999999996
2020-07-01,-28.406
2020-07-02,-27.907999999999998
2020-07-03,-30.293
2020-07-07,-21.312
2020-07-08,-22.614
2020-07-09,-20.416
2020-07-10,-13.367
2020-07-14,-14.869000000000002
2020-07-15,-19.288000000000004
2020-07-16,-22.407000000000004
2020-07-17,-27.909000000000006
2020-07-21,-30.528000000000006
2020-07-22,-33.74700000000001
2020-07-23,-35.583000000000006
2020-07-24,-31.985000000000007
2020-07-28,-35.27000000000001
2020-07-29,-39.85500000000001
2020-07-30,-38.85700000000001
2020-07-31,-28.393000000000015
2020-08-04,-30.412000000000013
2020-08-05,-30.948000000000015
2020-08-06,-35.984000000000016
2020-08-07,-41.48600000000002
2020-08-11,-35.85400000000002
2020-08-12,-32.956000000000024
2020-08-13,-35.95800000000003
2020-08-14,-42.377000000000024
2020-08-18,-35.99600000000002
2020-08-19,-38.581000000000024
2020-08-20,-35.383000000000024
2020-08-21,-37.419000000000025
2020-08-25,-43.83800000000002
2020-08-26,-43.12300000000002
2020-08-27,-37.94200000000002
2020-08-28,-26.161000000000023
2020-09-01,-23.280000000000022
2020-09-02,-22.882000000000023
2020-09-03,-23.26700000000002
2020-09-08,-23.60300000000002
2020-09-09,-21.105000000000018
2020-09-10,-20.573000000000018
2020-09-11,-24.49200000000002
2020-09-15,-27.21100000000002
2020-09-16,-31.93000000000002
2020-09-17,-33.14900000000002
2020-09-18,-3.085000000000022
2020-09-22,-4.504000000000023
2020-09-23,-8.106000000000023
2020-09-24,-11.625000000000023
2020-09-25,-10.427000000000023
2020-09-28,-15.929000000000023
2020-09-29,-18.831000000000024
2020-09-30,-23.450000000000024
2020-10-01,-23.769000000000023
2020-10-02,-24.737000000000023
2020-10-05,-28.07300000000002
2020-10-06,-29.75800000000002
2020-10-07,-33.59400000000002
2020-10-08,-27.196000000000026
2020-10-09,-25.732000000000024
