Date,target_10
2021-01-06,-1.1186
2021-01-07,-3.8372
2021-01-08,-5.6496
2021-01-09,-6.168200000000001
2021-01-13,-7.386800000000001
2021-01-14,-10.105400000000001
2021-01-15,-12.836400000000001
2021-01-16,-12.955000000000002
2021-01-20,-15.673600000000002
2021-01-21,-18.1046
2021-01-22,-19.229400000000002
2021-01-23,-21.948
2021-01-27,-23.7604
2021-01-28,-22.2666
2021-01-29,-23.2914
2021-01-30,-25.1038
2021-02-03,-29.6348
2021-02-04,-30.540999999999997
2021-02-05,-30.865799999999997
2021-02-06,-34.49059999999999
2021-02-11,-35.8092
2021-02-12,-37.6402
2021-02-13,-42.1712
2021-02-17,-46.7022
2021-02-20,-49.4208
2021-02-24,-50.327
2021-02-25,-47.639399999999995
2021-02-26,-49.764199999999995
2021-02-27,-53.388999999999996
2021-03-03,-55.20139999999999
2021-03-04,-53.944799999999994
2021-03-05,-56.663399999999996
2021-03-06,-59.382
2021-03-10,-62.1006
2021-03-11,-62.0192
2021-03-12,-61.644
2021-03-13,-60.875
2021-03-17,-64.4998
2021-03-18,-64.82459999999999
2021-03-19,-67.25559999999999
2021-03-20,-68.08039999999998
2021-03-24,-70.79899999999998
2021-03-25,-68.82379999999998
2021-03-26,-69.94859999999997
2021-03-27,-72.27959999999997
2021-03-31,-72.72299999999997
2021-04-01,-63.35399999999997
2021-04-02,-63.49119999999997
2021-04-07,-65.12219999999996
2021-04-08,-64.03459999999997
2021-04-09,-63.16559999999997
2021-04-10,-58.396599999999964
2021-04-14,-60.20899999999996
