Date,target_10
2020-06-24,0.9115000000000004
2020-06-25,-2.4300999999999995
2020-07-01,6.563700000000001
2020-07-02,8.457500000000001
2020-07-08,2.0336000000000016
2020-07-09,4.3097
2020-07-15,3.2504
2020-07-16,-2.244299999999999
2020-07-22,-2.721299999999999
2020-07-23,-3.9628999999999994
2020-07-29,-9.4691
2020-07-30,-12.992999999999999
2020-08-05,-14.787699999999997
2020-08-06,-4.5647
2020-08-12,-9.0063
2020-08-13,-14.465599999999998
2020-08-19,-12.6426
2020-08-20,-16.2019
2020-08-26,-20.5612
2020-08-27,-28.2382
2020-09-02,-26.197499999999998
2020-09-03,-23.992199999999997
2020-09-09,-25.1515
2020-09-10,-16.9108
2020-09-18,-23.4701
2020-09-20,-23.1471
2020-09-23,-24.0887
2020-09-24,-26.7303
2020-09-30,-24.8719
2020-10-01,-28.3666
2020-10-07,-27.6082
2020-10-08,-30.067500000000003
2020-10-14,-35.4091
2020-10-15,-35.286100000000005
2020-10-21,-44.463100000000004
2020-10-22,-49.404700000000005
2020-10-28,-49.199400000000004
2020-10-29,-54.694100000000006
