Date,target_10
2020-03-03,0.5119999999999996
2020-03-07,-1.6760000000000006
2020-03-10,-5.264000000000001
2020-03-17,-8.249
2020-06-09,-13.631
2020-06-15,-18.116
2020-06-16,-20.401
2020-06-22,-19.189
2020-06-23,-19.277
2020-06-29,-20.156000000000002
2020-06-30,-20.244000000000003
2020-07-06,-22.623000000000005
2020-07-07,-19.602000000000004
2020-07-13,-22.184000000000005
2020-07-14,-21.263000000000005
2020-07-20,-21.442000000000004
2020-07-21,-26.824000000000005
2020-07-27,-28.706000000000007
2020-07-28,-33.19100000000001
2020-08-03,-18.17000000000001
2020-08-04,-22.649000000000008
2020-08-10,-24.44300000000001
2020-08-11,-18.128000000000007
2020-08-17,-22.707000000000008
2020-08-18,-24.986000000000008
2020-08-24,-24.677000000000007
2020-08-25,-25.259000000000007
2020-08-31,-23.738000000000007
2020-09-01,-26.720000000000006
2020-09-05,-27.005000000000006
2020-09-07,-31.490000000000006
