Date,target_10
2021-01-01,-6.629
2021-01-02,-7.576
2021-01-03,-8.523
2021-01-08,-6.064
2021-01-09,-6.0520000000000005
2021-01-10,-8.587
2021-01-15,-11.427999999999999
2021-01-16,-13.322
2021-01-17,-15.216
2021-01-18,-14.004
2021-01-22,-12.651
2021-01-23,-12.239
2021-01-24,-15.08
2021-01-29,-18.868
2021-01-30,-20.602999999999998
2021-02-04,-22.496999999999996
2021-02-05,-26.678999999999995
2021-02-06,-29.413999999999994
2021-02-07,-33.20199999999999
2021-02-12,-33.34299999999999
2021-02-15,-32.48399999999999
2021-02-20,-33.43099999999999
2021-02-21,-40.05999999999999
2021-02-25,-41.79499999999999
2021-02-26,-45.582999999999984
2021-02-27,-46.02399999999999
2021-02-28,-50.758999999999986
2021-03-05,-52.652999999999984
2021-03-06,-54.54699999999998
2021-03-07,-56.734999999999985
2021-03-13,-57.68199999999999
2021-03-14,-61.469999999999985
2021-03-19,-59.310999999999986
2021-03-20,-61.198999999999984
2021-03-21,-51.98699999999998
2021-04-08,-55.31599999999998
2021-04-09,-53.05099999999998
2021-04-10,-59.37399999999998
2021-04-11,-58.40899999999998
