Date,target_10
2020-07-03,-0.9537
2020-07-04,-4.7684999999999995
2020-07-05,-9.536999999999999
2020-07-11,-11.659199999999998
2020-07-12,-13.220299999999998
2020-07-17,-17.988799999999998
2020-07-18,-18.1721
2020-07-19,-17.3554
2020-07-24,-21.1702
2020-07-25,-24.9535
2020-07-26,-31.629399999999997
2020-07-31,-29.490499999999997
2020-08-01,-29.5201
2020-08-02,-30.4034
2020-08-07,-34.2182
2020-08-08,-36.9478
2020-08-09,-44.5774
2020-08-14,-43.1922
2020-08-15,-46.6681
2020-08-16,-54.7588
2020-08-21,-59.5273
2020-08-22,-62.717999999999996
2020-08-23,-62.8476
2020-08-28,-67.6161
2020-08-29,-76.1994
2020-08-30,-82.4827
2020-09-04,-79.0586
2020-09-05,-88.59559999999999
2020-09-06,-88.57889999999999
2020-09-07,-89.5011
2020-09-12,-86.3381
2020-09-13,-74.2751
2020-09-19,-84.8732
2020-09-20,-88.7176
2020-09-26,-94.60090000000001
2020-09-27,-96.3379
2020-10-03,-91.72120000000001
2020-10-04,-98.00450000000001
2020-10-07,-104.04150000000001
2020-10-10,-102.42480000000002
2020-10-14,-108.14700000000002
2020-10-17,-110.53030000000003
2020-10-21,-106.65990000000002
2020-10-24,-116.19690000000003
