Date,target_10
2021-01-02,-0.13740000000000005
2021-01-04,-2.8935
2021-01-05,-4.7309
2021-01-06,-5.6496
2021-01-11,-6.568300000000001
2021-01-12,-9.3244
2021-01-16,-11.161800000000001
2021-01-18,-12.936600000000002
2021-01-19,-13.855300000000002
2021-01-20,-17.5301
2021-01-23,-18.1862
2021-01-25,-13.598400000000002
2021-01-26,-14.054500000000003
2021-01-27,-14.591900000000003
2021-01-30,-17.348000000000003
2021-02-01,-21.9415
2021-02-02,-21.360200000000003
2021-02-03,-22.278900000000004
2021-02-06,-21.553700000000003
2021-02-08,-25.228500000000004
2021-02-09,-27.065900000000003
2021-02-10,-30.740700000000004
2021-02-13,-32.8342
2021-02-15,-35.5903
2021-02-16,-34.6025
2021-02-17,-39.196
2021-02-20,-41.0334
2021-02-22,-46.5456
2021-02-24,-47.9204
2021-02-27,-45.676500000000004
2021-03-01,-49.3513
2021-03-02,-53.9448
2021-03-03,-54.5383
2021-03-06,-57.294399999999996
2021-03-08,-60.0505
2021-03-09,-58.7879
2021-03-10,-54.6814
2021-03-13,-58.356199999999994
2021-03-15,-61.11229999999999
2021-03-16,-63.80579999999999
2021-03-17,-65.88059999999999
2021-03-20,-67.45539999999998
2021-03-22,-68.04889999999999
2021-03-23,-72.6424
2021-03-24,-71.79849999999999
2021-03-27,-70.27329999999999
2021-03-29,-69.71069999999999
2021-03-30,-72.46679999999999
2021-03-31,-72.84159999999999
2021-04-03,-72.47899999999998
2021-04-05,-77.99119999999999
2021-04-06,-78.0286
2021-04-07,-80.7847
2021-04-10,-82.6221
2021-04-12,-79.6969
2021-04-13,-75.0904
2021-04-14,-76.7026
