Date,target_10
2021-01-03,-1.9506000000000001
2021-01-08,-4.8765
2021-01-15,-6.8271
2021-01-16,-9.753
2021-01-17,-10.7283
2021-01-18,-11.703600000000002
2021-01-22,-12.678900000000002
2021-01-23,-13.654200000000003
2021-01-24,-16.5801
2021-01-30,-18.530700000000003
2021-01-31,-20.481300000000005
2021-02-05,-21.456600000000005
2021-02-06,-22.431900000000006
2021-02-07,-21.407200000000007
2021-02-12,-23.357800000000008
2021-02-13,-18.78370000000001
2021-02-14,-19.75900000000001
2021-02-19,-21.709600000000012
2021-02-20,-22.684900000000013
2021-02-21,-24.310800000000015
2021-02-27,-27.236700000000013
2021-02-28,-24.337900000000012
2021-03-05,-26.139100000000013
2021-03-06,-27.114400000000014
2021-03-07,-30.040300000000016
2021-03-12,-31.015600000000017
2021-03-13,-31.990900000000018
2021-03-14,-23.341500000000018
2021-03-19,-26.267400000000016
2021-03-20,-28.218000000000018
2021-03-21,-29.54390000000002
2021-03-26,-30.51920000000002
2021-03-27,-33.44510000000002
2021-03-28,-34.420400000000015
2021-04-02,-35.24630000000001
2021-04-03,-32.972200000000015
2021-04-04,-32.897500000000015
2021-04-10,-36.79870000000002
2021-04-11,-37.774000000000015
