Date,target_10
2021-01-01,1.719
2021-01-02,-1.1024999999999998
2021-01-03,-0.1429999999999999
2021-01-09,-2.024
2021-01-10,-0.5050000000000001
2021-01-13,-1.4455
2021-01-16,-2.386
2021-01-17,-5.2075
2021-01-20,-1.9290000000000003
2021-01-22,-3.8100000000000005
2021-01-23,-7.572000000000001
2021-01-24,-9.453000000000001
2021-01-27,-11.334000000000001
2021-01-29,-6.755500000000001
2021-01-30,-8.636500000000002
2021-01-31,-7.158000000000001
2021-02-03,-7.160500000000001
2021-02-05,-8.101
2021-02-06,-7.682000000000001
2021-02-10,-12.384500000000001
2021-02-12,-14.265500000000001
2021-02-13,-14.727500000000001
2021-02-14,-13.649000000000001
2021-02-17,-14.870500000000002
2021-02-19,-18.6325
2021-02-20,-20.5135
2021-02-21,-13.354000000000001
2021-02-24,-15.235000000000001
2021-02-26,-18.0565
2021-02-27,-19.478
2021-02-28,-19.299500000000002
2021-03-03,-23.061500000000002
2021-03-05,-24.942500000000003
2021-03-06,-25.883000000000003
2021-03-07,-25.045
2021-03-10,-26.926000000000002
2021-03-12,-24.1475
2021-03-13,-26.0285
2021-03-14,-26.969
2021-03-17,-30.731
2021-03-19,-29.552500000000002
2021-03-20,-30.314500000000002
2021-03-21,-31.255000000000003
2021-03-24,-32.1955
2021-03-26,-34.0765
2021-03-27,-35.198
2021-03-31,-35.741
2021-04-02,-35.922
2021-04-03,-37.803
2021-04-07,-34.864999999999995
2021-04-09,-38.626999999999995
2021-04-10,-43.329499999999996
2021-04-14,-31.810499999999998
