Date,target_10
2021-01-06,-6.061999999999999
2021-01-07,-11.723999999999998
2021-01-08,-16.586
2021-01-09,-18.0356
2021-01-13,-22.4852
2021-01-14,-29.7348
2021-01-15,-35.1844
2021-01-16,-36.934
2021-01-20,-39.983599999999996
2021-01-21,-38.7332
2021-01-22,-40.882799999999996
2021-01-23,-42.2324
2021-01-27,-28.382
2021-01-28,-33.2316
2021-01-29,-35.7812
2021-01-30,-34.5308
2021-02-03,-40.1804
2021-02-04,-40.93
2021-02-05,-41.4796
2021-02-06,-46.929199999999994
2021-02-11,-43.87879999999999
2021-02-12,-48.42839999999999
2021-02-13,-50.97799999999999
2021-02-17,-56.12759999999999
2021-02-20,-61.564799999999984
2021-02-24,-64.72059999999999
2021-02-25,-68.37639999999999
2021-02-26,-64.22599999999998
2021-02-27,-71.47559999999999
2021-03-03,-75.62519999999999
2021-03-04,-75.2748
2021-03-05,-69.7244
2021-03-06,-71.37400000000001
2021-03-10,-75.42360000000001
2021-03-11,-77.2732
2021-03-12,-80.5228
2021-03-13,-82.47240000000001
2021-03-17,-86.62200000000001
2021-03-18,-90.57160000000002
2021-03-19,-95.72120000000002
2021-03-20,-97.87080000000003
2021-03-24,-103.92040000000003
2021-03-25,-97.27000000000002
2021-03-26,-94.81960000000002
2021-03-27,-99.86920000000002
2021-03-31,-96.31880000000002
2021-04-01,-89.66840000000002
2021-04-02,-90.51800000000001
2021-04-07,-94.86760000000001
2021-04-08,-95.11720000000001
2021-04-09,-93.16680000000001
2021-04-10,-91.11640000000001
2021-04-14,-96.26600000000002
2021-04-15,
