Date,target_10
2021-01-15,-3.2528
2021-01-16,-12.9438
2021-01-17,-17.1657
2021-01-18,-14.287600000000001
2021-01-22,-14.040400000000002
2021-01-23,-14.1623
2021-01-24,-13.6151
2021-01-28,-13.1988
2021-01-29,-15.2516
2021-01-30,-21.1044
2021-01-31,-26.957199999999997
2021-02-04,-20.4409
2021-02-05,-21.4937
2021-02-06,-23.6156
2021-02-07,-23.4684
2021-02-11,-25.0521
2021-02-12,-22.9358
2021-02-13,-27.8577
2021-02-14,-28.6796
2021-02-15,-29.732400000000002
2021-02-19,-24.985200000000003
2021-02-20,-27.207100000000004
2021-02-21,-32.32900000000001
2021-02-25,-22.012700000000006
2021-02-26,-26.665500000000005
2021-02-27,-35.38740000000001
2021-02-28,-44.109300000000005
2021-03-04,-49.9239
2021-03-05,-48.0767
2021-03-06,-53.1986
2021-03-07,-59.9205
2021-03-11,-52.804199999999994
2021-03-12,-44.956999999999994
2021-03-13,-49.57889999999999
2021-03-14,-45.73169999999999
2021-03-18,-43.41539999999999
2021-03-19,-46.16819999999999
2021-03-20,-48.190099999999994
2021-03-21,-16.311999999999994
2021-03-25,-17.895699999999994
2021-03-26,-22.648499999999995
2021-03-27,-18.270399999999995
2021-03-28,-7.192299999999994
2021-04-01,-8.975999999999994
2021-04-02,-7.628799999999994
2021-04-03,-17.319799999999994
2021-04-04,-20.541699999999995
2021-04-08,-16.225399999999993
2021-04-09,-23.978199999999994
2021-04-10,-25.100099999999994
2021-04-11,-30.321999999999996
