Date,target_10
2021-01-01,-10.6777
2021-01-02,-17.1554
2021-01-03,-17.333099999999998
2021-01-06,5.559900000000006
2021-01-07,1.7529000000000066
2021-01-08,-2.054099999999993
2021-01-09,-9.631799999999993
2021-01-10,-15.709499999999993
2021-01-13,-18.61649999999999
2021-01-14,-23.623499999999993
2021-01-15,-29.730499999999992
2021-01-16,-27.67889999999999
2021-01-17,-31.15659999999999
2021-01-20,-30.76359999999999
2021-01-21,-38.17059999999999
2021-01-22,-23.17759999999999
2021-01-23,-24.825999999999993
2021-01-24,-29.603699999999993
2021-01-27,-26.91069999999999
2021-01-28,-31.917699999999993
2021-01-29,-41.62469999999999
2021-01-30,-30.07309999999999
2021-01-31,-33.95079999999999
2021-02-03,-16.557799999999986
2021-02-04,-23.964799999999986
2021-02-05,-26.27179999999999
2021-02-06,-35.72019999999999
2021-02-07,-40.39789999999999
2021-02-10,-44.204899999999995
2021-02-11,-52.11189999999999
2021-02-12,-56.918899999999994
2021-02-13,-55.76729999999999
2021-02-14,-58.044999999999995
2021-02-17,-65.452
2021-02-18,-66.859
2021-02-19,-64.966
2021-02-20,-71.5144
2021-02-21,-67.29209999999999
2021-02-24,-71.09909999999999
2021-02-25,-80.80609999999999
2021-02-26,-78.51309999999998
2021-02-27,-92.10289999999998
2021-02-28,-88.35129999999998
2021-03-03,-76.55829999999997
2021-03-04,-82.66529999999997
2021-03-05,-82.27229999999997
2021-03-06,-82.72069999999997
2021-03-07,-93.39839999999997
2021-03-10,-93.20539999999997
2021-03-11,-99.41239999999996
2021-03-12,-79.71939999999996
2021-03-13,-86.16779999999997
2021-03-14,-91.27479999999997
2021-03-17,-74.48179999999996
2021-03-18,-74.18879999999996
2021-03-19,-77.99579999999996
2021-03-20,-89.64419999999996
2021-03-21,-72.62189999999995
2021-03-24,-74.62889999999996
2021-03-25,-57.83589999999995
2021-03-26,-60.44289999999995
2021-03-27,-66.03269999999995
2021-03-28,-65.68109999999994
2021-04-01,-63.84669999999994
2021-04-02,-68.98299999999995
2021-04-03,-73.56069999999994
2021-04-04,-74.66769999999994
2021-04-08,-79.93329999999995
2021-04-09,-87.26959999999994
2021-04-10,-85.94729999999994
2021-04-11,-85.55429999999994
2021-04-15,
