Date,target_10
2021-01-08,-0.28700000000000014
2021-01-09,-9.274000000000001
2021-01-14,-11.661
2021-01-15,-16.048000000000002
2021-01-16,-19.535000000000004
2021-01-21,-25.122000000000003
2021-01-22,-28.909000000000002
2021-01-23,-36.9973
2021-01-28,-44.584300000000006
2021-01-29,-48.1713
2021-01-30,-41.0583
2021-01-31,-48.645300000000006
2021-02-04,-53.332300000000004
2021-02-05,-54.41930000000001
2021-02-06,-58.606300000000005
2021-02-10,-65.7933
2021-02-11,-66.2894
2021-02-12,-68.7777
2021-02-13,-60.465999999999994
2021-02-24,-53.1504
2021-02-25,-52.8348
2021-02-26,-56.6218
2021-02-27,-63.0062
2021-03-03,-64.3932
2021-03-04,-45.68279999999999
2021-03-05,-52.96979999999999
2021-03-06,-61.956799999999994
2021-03-10,-68.54379999999999
2021-03-11,-67.1308
2021-03-12,-73.0178
2021-03-13,-69.4048
2021-03-17,-76.39179999999999
2021-03-18,-80.87879999999998
2021-03-19,-75.96579999999999
2021-03-20,-80.45149999999998
2021-03-24,-88.03849999999998
2021-03-25,-89.42549999999999
2021-03-26,-88.31249999999999
2021-03-27,-90.09949999999999
2021-03-31,-50.48649999999999
2021-04-01,-56.37349999999999
2021-04-02,-62.26049999999999
2021-04-03,-28.347499999999982
