Date,target_10
2021-01-01,-8.523
2021-01-02,-7.346
2021-01-03,-15.869
2021-01-08,-13.192000000000002
2021-01-09,-12.315000000000003
2021-01-10,-11.938000000000002
2021-01-15,-10.361000000000004
2021-01-16,-16.284000000000006
2021-01-17,-24.807000000000006
2021-01-18,-21.730000000000008
2021-01-22,-21.553000000000008
2021-01-23,-24.37600000000001
2021-01-24,-32.89900000000001
2021-01-29,-36.97500000000001
2021-01-30,-40.79800000000001
2021-02-04,-44.22100000000001
2021-02-05,-49.54400000000001
2021-02-06,-51.76700000000001
2021-02-07,-58.19000000000001
2021-02-12,-64.013
2021-02-15,-40.43600000000001
2021-02-20,-41.659000000000006
2021-02-21,-50.182
2021-02-25,-50.352000000000004
2021-02-26,-58.322
2021-02-27,-60.19200000000001
2021-02-28,-62.562000000000005
2021-03-05,-70.138
2021-03-06,-59.66100000000001
2021-03-07,-61.13700000000001
2021-03-13,-67.66000000000001
2021-03-14,-74.88300000000001
2021-03-19,-72.406
2021-03-20,-79.02900000000001
2021-03-21,-69.25200000000001
2021-04-08,-74.47500000000001
2021-04-09,-73.09800000000001
2021-04-10,-79.421
2021-04-11,-72.997
