Date,target_10
2020-05-24,3.2542999999999997
2020-05-25,7.3607999999999985
2020-05-30,5.325999999999999
2020-05-31,3.2737999999999983
2020-06-05,-0.1610000000000018
2020-06-06,-2.8545000000000016
2020-06-07,-2.2654000000000023
2020-06-12,-5.058900000000002
2020-06-13,-8.493700000000002
2020-06-14,-6.0046000000000035
2020-06-19,-7.039400000000004
2020-06-20,-8.432900000000004
2020-06-21,-4.685100000000004
2020-06-26,-12.413400000000003
2020-06-27,-16.465600000000002
2020-06-28,-21.617800000000003
2020-07-05,-23.522200000000005
2020-07-10,-24.380900000000004
2020-07-11,-24.050500000000003
2020-07-12,-23.961400000000005
2020-07-17,-27.948400000000007
2020-07-18,-28.018000000000008
2020-07-19,-32.887600000000006
2020-07-24,-17.05720000000001
2020-07-25,-12.626800000000008
2020-07-26,-2.6377000000000095
2020-07-31,-6.07250000000001
2020-08-01,-4.84860000000001
2020-08-02,-6.059500000000009
2020-08-07,0.07089999999999108
2020-08-08,-4.222600000000009
2020-08-09,-10.23350000000001
2020-08-14,-16.24440000000001
2020-08-15,-17.15530000000001
2020-08-16,-24.02490000000001
2020-08-21,-24.88360000000001
2020-08-22,-24.00100000000001
2020-08-23,-21.664100000000012
2020-08-28,-20.07500000000001
2020-08-29,-20.08590000000001
2020-08-30,-18.296800000000008
2020-09-04,-21.74900000000001
2020-09-05,-27.97730000000001
2020-09-06,-30.08820000000001
2020-09-07,-32.39910000000001
