Date,target_10
2021-01-01,-8.777700000000001
2021-01-02,-14.055400000000002
2021-01-03,-15.933100000000001
2021-01-08,-24.710800000000003
2021-01-09,-25.463800000000003
2021-01-10,-34.2415
2021-01-15,-42.0439
2021-01-16,-35.1969
2021-01-17,-42.5746
2021-01-18,-49.2523
2021-01-22,-57.0547
2021-01-23,-63.2324
2021-01-24,-71.0348
2021-01-30,-64.5372
2021-01-31,-69.7396
2021-02-05,-72.942
2021-02-06,-63.394999999999996
2021-02-07,-69.1974
2021-02-12,-76.99980000000001
2021-02-13,-75.2775
2021-02-14,-81.9552
2021-02-15,-88.1576
2021-02-19,-91.4353
2021-02-20,-82.513
2021-02-21,-62.990700000000004
2021-02-26,-49.993100000000005
2021-02-27,-58.77080000000001
2021-02-28,-56.74850000000001
2021-03-05,-58.85090000000001
2021-03-06,-60.87920000000001
2021-03-07,-56.35690000000001
2021-03-12,-62.25930000000001
2021-03-13,-54.23700000000001
2021-03-14,-16.439400000000006
2021-03-19,-24.241800000000005
2021-03-20,-29.719500000000004
2021-03-21,-33.99720000000001
2021-03-26,-24.999600000000008
2021-03-27,-33.77730000000001
2021-03-28,-36.75500000000001
2021-04-02,-42.45740000000001
2021-04-03,-4.86099999999999
2021-04-04,-8.48869999999999
2021-04-10,-15.16639999999999
2021-04-11,-11.144099999999991
