Date,target_10
2020-01-03,-3.5122
2020-01-04,-5.324400000000001
2020-01-05,-11.4053
2020-01-07,-15.217500000000001
2020-01-10,-21.2984
2020-01-11,-25.079300000000003
2020-01-12,-30.291500000000003
2020-01-14,-32.9724
2020-01-17,-35.3846
2020-01-18,-39.7281
2020-01-19,-39.540299999999995
2020-01-21,-25.189899999999998
2020-01-24,-28.208199999999998
2020-01-25,-35.157799999999995
2020-01-26,-39.50129999999999
2020-01-28,-46.45089999999999
2020-01-31,-38.831799999999994
2020-02-01,-37.88139999999999
2020-02-02,-35.58749999999999
2020-02-04,-39.33709999999999
2020-02-07,-41.68059999999999
2020-02-08,-46.030199999999994
2020-02-09,-46.711099999999995
2020-02-11,-47.16069999999999
2020-02-14,-46.67899999999999
2020-02-15,-51.697299999999984
2020-02-16,-57.24689999999998
2020-02-18,-61.06519999999998
2020-02-21,-61.777399999999986
2020-02-22,-68.72699999999999
2020-02-23,-70.14529999999999
2020-02-25,-75.03229999999999
2020-02-28,-72.1506
2020-02-29,-73.1315
2020-03-01,-63.7811
2020-03-03,-62.6498
2020-03-06,-65.5933
2020-03-07,-60.0803
2020-03-08,-60.3986
2020-03-10,-61.816900000000004
2020-03-13,-50.09780000000001
2020-03-14,-52.51610000000001
2020-03-15,-55.93440000000001
