Date,target_10
2021-01-01,-5.4496
2021-01-02,-7.4992
2021-01-06,-11.0488
2021-01-07,-0.19839999999999947
2021-01-08,-2.8479999999999994
2021-01-09,-9.997599999999998
2021-01-14,-14.747199999999998
2021-01-15,-19.296799999999998
2021-01-16,-21.3464
2021-01-21,-25.595999999999997
2021-01-22,4.254400000000004
2021-01-23,-2.8951999999999956
2021-01-28,-10.044799999999995
2021-01-29,17.10560000000001
2021-01-30,13.53080000000001
2021-02-04,6.38120000000001
2021-02-05,-0.7683999999999891
2021-02-06,-7.917999999999989
2021-02-24,-13.167599999999988
2021-02-25,-18.717199999999988
2021-02-26,-25.866799999999987
2021-02-27,-28.716399999999986
2021-03-03,-35.865999999999985
2021-03-04,-43.015599999999985
2021-03-05,-42.86519999999999
2021-03-06,-50.01479999999999
2021-03-10,-45.86439999999999
2021-03-11,-36.61399999999999
2021-03-12,-38.76359999999999
2021-03-13,-44.213199999999986
2021-03-17,-48.862799999999986
2021-03-18,-53.012399999999985
2021-03-19,-58.46199999999999
2021-03-20,-59.21159999999999
2021-03-24,-64.8612
2021-03-25,-72.01079999999999
2021-03-26,-73.26039999999999
2021-03-27,-70.98479999999999
