Date,target_10
2021-01-04,-6.3414
2021-01-05,-6.882800000000001
2021-01-06,-15.0242
2021-01-07,-13.865600000000002
2021-01-08,-12.907000000000004
2021-01-11,-4.648400000000006
2021-01-12,-4.8852000000000055
2021-01-13,-8.222000000000005
2021-01-14,-7.9588000000000045
2021-01-15,-3.495600000000005
2021-01-18,-8.932400000000005
2021-01-19,-6.369200000000006
2021-01-20,-8.710600000000007
2021-01-21,-2.9520000000000035
2021-01-22,-5.493400000000005
2021-01-26,-5.734800000000005
2021-01-27,-7.876200000000006
2021-01-28,-7.917600000000007
2021-01-29,-13.059000000000008
2021-02-01,-17.70040000000001
2021-02-02,-22.641800000000007
2021-02-03,-19.783200000000008
2021-02-04,-24.724600000000006
2021-02-05,-27.266000000000005
2021-02-08,-31.307400000000005
2021-02-09,-25.048800000000007
2021-02-10,-27.790200000000006
2021-02-11,-29.731600000000007
2021-02-12,-27.123000000000008
2021-02-17,-30.46440000000001
2021-02-18,-24.705800000000007
2021-02-19,-29.947200000000006
2021-02-22,-32.9932
2021-02-23,-33.4392
2021-02-24,-19.980600000000003
2021-03-01,-27.4266
2021-03-02,-8.6726
2021-03-03,-13.609399999999999
2021-03-04,-16.446199999999997
2021-03-05,-18.982999999999997
2021-03-08,-15.528999999999996
2021-03-09,-15.474999999999996
2021-03-10,-20.520999999999994
2021-03-11,-13.166999999999994
2021-03-12,-18.203799999999994
2021-03-15,-24.649799999999992
2021-03-16,-27.995799999999992
2021-03-17,-27.53259999999999
2021-03-18,-29.223999999999993
2021-03-19,-28.965399999999992
2021-03-22,-36.21139999999999
2021-03-23,-42.50739999999999
2021-03-24,-40.844199999999994
2021-03-25,-20.385599999999997
2021-03-26,-25.826999999999995
2021-03-29,-28.677599999999995
2021-03-30,-35.623599999999996
2021-03-31,-39.3604
2021-04-01,-40.197199999999995
2021-04-02,-45.333999999999996
2021-04-05,-54.379999999999995
2021-04-06,-50.935199999999995
2021-04-07,-42.0766
2021-04-08,-38.418
2021-04-09,-31.0548
2021-04-12,-25.1008
2021-04-13,-34.1468
2021-04-14,-23.083599999999997
2021-04-15,
