Date,target_10
2021-01-16,-2.8005
2021-01-17,-5.601
2021-01-21,-6.5344999999999995
2021-01-23,-9.334999999999999
2021-01-28,-10.2685
2021-01-30,-12.1355
2021-01-31,-14.002500000000001
2021-02-04,-11.919500000000001
2021-02-05,-12.853000000000002
2021-02-13,-11.953500000000002
2021-02-14,-12.887000000000002
2021-02-15,-13.820500000000003
2021-02-19,-12.054000000000002
2021-02-20,-14.854500000000002
2021-02-21,-15.788000000000002
2021-02-26,-19.522000000000002
2021-02-28,-20.4555
2021-03-05,-22.156
2021-03-06,-23.089499999999997
2021-03-07,-24.9565
2021-03-12,-25.889999999999997
2021-03-13,-27.756999999999998
2021-03-20,-29.624
2021-03-21,-31.491
2021-03-26,-33.358
2021-03-27,-33.625
2021-03-28,-34.5585
2021-04-01,-35.492000000000004
2021-04-08,-36.42550000000001
2021-04-11,-38.292500000000004
