Date,target_10
2021-01-07,-0.9062
2021-01-09,0.38760000000000006
2021-01-13,-0.5186
2021-01-14,-1.4247999999999998
2021-01-16,-2.0372
2021-01-20,-3.8495999999999997
2021-01-21,-4.7558
2021-01-27,-6.5682
2021-02-03,-8.3806
2021-02-06,-9.2868
2021-02-11,-9.6992
2021-02-12,-8.811599999999999
2021-02-13,-9.717799999999999
2021-02-17,-12.436399999999999
2021-02-25,-8.8426
2021-02-27,-10.655
2021-03-03,-11.5612
2021-03-04,-14.2798
2021-03-05,-16.0922
2021-03-06,-17.9046
2021-03-10,-18.810799999999997
2021-03-11,-17.823199999999996
2021-03-12,-18.729399999999995
2021-03-13,-15.241799999999994
2021-03-18,-17.054199999999994
2021-03-19,-17.672799999999995
2021-03-20,-19.485199999999995
2021-03-24,-21.297599999999996
2021-03-25,-22.316199999999995
2021-03-26,-20.722399999999993
2021-03-27,-21.62859999999999
2021-03-31,-17.54099999999999
2021-04-01,-10.25339999999999
2021-04-02,-12.06579999999999
2021-04-07,-13.28439999999999
2021-04-09,-11.902999999999992
2021-04-10,-13.715399999999992
