Date,target_10
2021-01-07,-0.9707
2021-01-10,2.6586
2021-01-13,1.6879
2021-01-14,0.7172
2021-01-15,-0.25350000000000006
2021-01-16,-1.2242000000000002
2021-01-17,-2.1949
2021-01-21,-3.1656
2021-01-22,-5.107
2021-01-24,-7.0484
2021-01-28,-8.0191
2021-01-29,-8.9898
2021-01-31,-9.960500000000001
2021-02-03,-10.931200000000002
2021-02-05,-9.901900000000001
2021-02-06,-11.843300000000001
2021-02-07,-12.814000000000002
2021-02-10,-13.784700000000003
2021-02-11,-15.726100000000002
2021-02-13,-16.696800000000003
2021-02-14,-18.638200000000005
2021-02-17,-19.608900000000006
2021-02-19,-20.579600000000006
2021-02-20,-16.450300000000006
2021-02-25,-17.421000000000006
2021-02-28,-19.362400000000008
2021-03-03,-22.274500000000007
2021-03-07,-23.245200000000008
2021-03-11,-24.21590000000001
2021-03-12,-27.128000000000007
2021-03-13,-29.06940000000001
2021-03-14,-30.04010000000001
2021-03-17,-31.01080000000001
2021-03-19,-32.95220000000001
2021-03-20,-33.92290000000001
2021-03-24,-34.89360000000001
2021-03-25,-36.835000000000015
2021-03-27,-37.805700000000016
2021-03-28,-36.34710000000002
2021-04-02,-38.28850000000002
2021-04-08,-39.25920000000002
2021-04-09,-39.800600000000024
2021-04-10,-40.771300000000025
2021-04-11,-38.742000000000026
