Date,target_10
2021-01-08,-3.5948
2021-01-09,-7.1896
2021-01-14,-3.6883
2021-01-15,-5.4857
2021-01-16,-6.081799999999999
2021-01-21,-10.575299999999999
2021-01-22,-13.0688
2021-01-23,-18.461
2021-01-28,-22.055799999999998
2021-01-29,-22.2519
2021-01-30,-22.3493
2021-01-31,-22.7467
2021-02-04,-21.1428
2021-02-05,-24.7376
2021-02-06,-22.6337
2021-02-10,-25.329800000000002
2021-02-11,-24.0285
2021-02-12,-25.023300000000003
2021-02-13,-26.820700000000002
2021-02-24,-23.518100000000004
2021-02-25,-25.315500000000004
2021-02-26,-26.214200000000005
2021-02-27,-27.112900000000007
2021-03-03,-28.910300000000007
2021-03-04,-27.806400000000007
2021-03-05,-29.603800000000007
2021-03-06,-33.198600000000006
2021-03-10,-35.89470000000001
2021-03-11,-41.28690000000001
2021-03-12,-45.78040000000001
2021-03-13,-45.87520000000001
2021-03-17,-47.470000000000006
2021-03-18,-46.564800000000005
2021-03-19,-38.159600000000005
2021-03-20,-37.2531
2021-03-24,-41.7466
2021-03-25,-42.6453
2021-03-26,-38.3414
2021-03-27,-35.5375
2021-03-31,-36.4362
2021-04-01,-38.2336
2021-04-02,-37.8297
2021-04-03,-31.224500000000003
