Date,target_10
2021-01-01,-4.7035
2021-01-02,-4.6256
2021-01-03,-7.4477
2021-01-08,-7.4698
2021-01-09,-3.6919000000000013
2021-01-10,-1.1954000000000016
2021-01-15,-6.839600000000001
2021-01-16,-7.402400000000001
2021-01-17,-6.965200000000001
2021-01-22,-9.2501
2021-01-23,-9.4129
2021-01-24,-12.7164
2021-01-30,-15.538499999999999
2021-01-31,-20.4234
2021-02-12,-23.2455
2021-02-13,-24.1862
2021-02-14,-21.349
2021-02-19,-25.1118
2021-02-20,-24.7153
2021-02-21,-27.537399999999998
2021-02-26,-28.7595
2021-02-27,-29.962999999999997
2021-02-28,-33.7258
2021-03-05,-37.4886
2021-03-06,-30.692100000000003
2021-03-07,-34.4549
2021-03-12,-35.899100000000004
2021-03-13,-30.639800000000005
2021-03-14,-32.0026
2021-03-19,-31.584
2021-03-20,-26.8875
2021-03-21,-26.4096
2021-03-26,-29.2317
2021-03-27,-19.6352
2021-03-28,-20.9573
2021-04-02,-25.660800000000002
2021-04-03,-25.2829
2021-04-09,-24.1643
2021-04-11,-18.6271
