Date,target_10
2021-01-01,-3.788
2021-01-08,0.565
2021-01-09,-1.329
2021-01-10,-3.223
2021-01-15,-4.17
2021-01-16,-5.117
2021-01-30,-7.011
2021-02-05,-8.352
2021-02-06,-8.246
2021-02-07,-11.087
2021-02-12,-12.033999999999999
2021-02-15,-13.927999999999999
2021-02-21,-15.822
2021-02-25,-16.769
2021-02-26,-17.715999999999998
2021-02-27,-16.262999999999998
2021-02-28,-18.156999999999996
2021-03-05,-19.103999999999996
2021-03-06,-20.050999999999995
2021-03-07,-20.997999999999994
2021-03-14,-22.891999999999992
2021-03-19,-19.785999999999994
2021-03-20,-18.832999999999995
2021-03-21,-14.379999999999995
2021-04-08,-16.273999999999994
2021-04-10,-18.808999999999994
2021-04-11,-15.949999999999994
