Date,target_10
2021-01-04,-1.8374
2021-01-06,-2.7561
2021-01-18,-3.6122
2021-01-20,-4.5309
2021-01-23,-5.187
2021-01-25,-3.2244
2021-01-26,-4.1431000000000004
2021-01-27,-5.061800000000001
2021-02-01,-6.8992
2021-02-02,-6.317900000000001
2021-02-06,-4.674
2021-02-08,-6.5114
2021-02-09,-7.4301
2021-02-15,-9.2675
2021-02-16,-7.361
2021-02-20,-8.2797
2021-02-22,-9.1984
2021-02-24,-9.6545
2021-02-27,-10.5732
2021-03-01,-11.4919
2021-03-02,-13.3293
2021-03-03,-15.1667
2021-03-06,-16.0854
2021-03-08,-18.8415
2021-03-09,-19.7602
2021-03-10,-18.0976
2021-03-13,-19.935
2021-03-17,-21.091099999999997
2021-03-20,-22.665899999999997
2021-03-22,-20.503299999999996
2021-03-23,-21.421999999999997
2021-03-24,-22.3407
2021-03-27,-18.059399999999997
2021-03-30,-19.896799999999995
2021-03-31,-19.352899999999995
2021-04-03,-18.990299999999994
2021-04-07,-19.908999999999995
2021-04-12,-21.746399999999994
2021-04-13,-20.002499999999994
2021-04-14,-20.921199999999995
