Date,target_10
2021-01-01,-3.9012000000000002
2021-01-02,-5.851800000000001
2021-01-03,-7.8024000000000004
2021-01-08,-9.753
2021-01-09,-9.3542
2021-01-10,-12.280100000000001
2021-01-15,-16.1813
2021-01-16,-18.1319
2021-01-17,-21.0578
2021-01-18,-19.9331
2021-01-22,-21.8837
2021-01-23,-24.1602
2021-01-24,-28.0614
2021-01-30,-27.3873
2021-01-31,-26.7379
2021-02-05,-28.6885
2021-02-06,-29.663800000000002
2021-02-07,-35.515600000000006
2021-02-12,-37.46620000000001
2021-02-13,-38.441500000000005
2021-02-15,-40.742700000000006
2021-02-19,-40.268600000000006
2021-02-20,-41.243900000000004
2021-02-21,-41.8945
2021-02-26,-37.6957
2021-02-27,-41.596900000000005
2021-02-28,-39.622800000000005
2021-03-05,-41.57340000000001
2021-03-06,-43.52400000000001
2021-03-07,-40.025200000000005
2021-03-12,-41.051100000000005
2021-03-13,-32.95230000000001
2021-03-14,-23.878200000000007
2021-03-19,-27.779400000000006
2021-03-20,-29.780600000000007
2021-03-21,-33.25710000000001
2021-03-26,-28.63360000000001
2021-03-27,-32.53480000000001
2021-03-28,-35.81130000000001
2021-04-02,-37.76190000000001
2021-04-03,-38.01250000000001
2021-04-04,-36.83840000000001
2021-04-10,-39.764300000000006
2021-04-11,-36.49020000000001
