Date,target_10
2021-01-01,-0.9405
2021-01-09,-1.881
2021-01-10,-2.8215
2021-01-13,-3.762
2021-01-17,-5.643
2021-01-20,-6.5835
2021-01-22,-7.524
2021-01-23,-10.3455
2021-01-24,-11.286
2021-01-27,-12.2265
2021-02-03,-13.167
2021-02-06,-14.1075
2021-02-10,-17.8695
2021-02-12,-18.81
2021-02-13,-19.7505
2021-02-17,-20.691
2021-02-19,-21.6315
2021-02-21,-14.472
2021-02-27,-15.4125
2021-02-28,-16.352999999999998
2021-03-03,-19.1745
2021-03-05,-20.115
2021-03-06,-21.0555
2021-03-07,-21.996
2021-03-10,-23.877
2021-03-12,-24.8175
2021-03-14,-25.758
2021-03-17,-26.6985
2021-03-19,-26.239
2021-03-20,-25.12
2021-03-21,-26.0605
2021-03-24,-27.001
2021-03-26,-27.9415
2021-04-02,-28.882
2021-04-03,-30.763
2021-04-07,-28.944000000000003
2021-04-10,-30.825000000000003
