Date,target_10
2021-01-01,-0.9405
2021-01-02,-2.8215
2021-01-03,-3.762
2021-01-06,-4.7025
2021-01-09,-6.5835
2021-01-13,-7.524
2021-01-16,-8.4645
2021-01-17,-10.3455
2021-01-20,-12.2265
2021-01-22,-14.1075
2021-01-23,-15.9885
2021-01-24,-17.8695
2021-01-27,-18.81
2021-01-29,-16.4315
2021-01-30,-17.372
2021-01-31,-17.053
2021-02-03,-20.815
2021-02-05,-22.696
2021-02-06,-24.577
2021-02-10,-29.279500000000002
2021-02-12,-30.220000000000002
2021-02-13,-29.741500000000002
2021-02-14,-29.722500000000004
2021-02-17,-30.944000000000003
2021-02-19,-33.7655
2021-02-20,-35.6465
2021-02-24,-35.9275
2021-02-26,-36.868
2021-02-27,-37.8085
2021-02-28,-37.63
2021-03-03,-36.2515
2021-03-05,-37.192
2021-03-07,-33.5325
2021-03-10,-34.473
2021-03-12,-34.954
2021-03-13,-35.8945
2021-03-14,-36.835
2021-03-17,-40.597
2021-03-19,-41.078
2021-03-20,-43.8995
2021-03-21,-42.0805
2021-03-24,-43.021
2021-03-27,-43.202
2021-03-28,-36.1425
2021-03-31,-37.8045
2021-04-02,-36.245
2021-04-03,-31.025999999999996
2021-04-07,-32.288
2021-04-09,-34.169
2021-04-10,-33.830999999999996
2021-04-14,-22.311999999999998
