Racetrack,Track_Code,Longitude,Latitude,
Ajax Downs,AJX,-79.000534,43.870519,
Alameda County Fairgrounds,,-121.8963894,37.6600748,
Aqueduct Race Track,AQU,-73.828903,40.67765,
Arapahoe Park Racetrack,ARP,-104.687347,39.626846,
Arizona Downs,AD,-112.2799108,34.646031,
Arlington Park Racetrack,AP,-88.007249,42.088408,
Assiniboia Downs,ASD,-97.334212,49.882028,
Belmont Park Race Track,BEL,-73.717969,40.714754,
Belterra Park,BTPx,-84.412849,39.051779,
Big Fresno Fair,BFFx,-119.7509962,36.7315432,
California State Fair,CSFx,-121.4376522,38.5928473,
Canterbury Park,CBY,-93.469822,44.788724,
Century Downs Racetrack,CTD,-113.9797838,51.2001584,
Charles Town Races & Slots,CT,-77.852318,39.297842,
Churchill Downs ,CD,-85.770566,38.205635,
Colonial Downs,CNL,-77.4313806,37.5331118,
Columbus Horse Racing,CLS,-97.3352734,41.4315702,
Del Mar,DMR,-117.256329,32.973712,
Delaware Park ,DEL,-75.652947,39.709324,
Delta Downs Racetrack ,DED,-93.622098,30.197696,
Downs At Albuquerque,ALB,-106.575279,35.077655,
Ellis Park Race Course ,ELP,-87.572839,37.806128,
Emerald Downs,EMD,-122.237492,47.328294,
Evangeline Downs,EVD,-92.060344,30.526095,
Evergreen Park ,Epx,-113.3524578,53.6315672,
Fair Grounds Race Course,FGS,-90.081067,29.983784,
Fair Meadows: Horse Racing,FMT,-96.001282,36.164488,
Fairmount Park Racetrack,FP,-90.037088,38.659623,
Finger Lakes Racing,FL,-77.344256,42.974405,
Fonner Park Race Track,FON,          -98.328602,40.902058,
Fort Erie Race Track,FE,-78.928856,42.916569,
Golden Gate Fields,GG,-122.310652,37.879677,
Grant's Pass Racetrack,GRP,-123.3440911,42.4236712,
Gulfstream Park,GP,-80.13799,25.978474,
Gulfstream Park West,GPW,-80.246487,25.968222,
Hastings Racecourse,HST,-123.038208,49.285041,
Hawthorne Race Course ,HAW,-87.753469,41.829023,
Humboldt County Fairgrounds,HCFx,-124.263544,40.585599,
Indiana Downs,IND,-85.824831,39.587178,
Keeneland,KEE,-84.606305,38.042716,
Kentucky Downs Race Course,KD,-86.561108,36.641978,
Laurel Park,LRL,-76.831283,39.103527,
Lone Star Park ,LS,-96.991718,32.772031,
Los Alamitos Race Course,LRC,-118.045071,33.803129,
Louisiana Downs,LAD,-93.624609,32.547229,
Mahoning Valley Race Course,MVR,-80.768094,41.12012,
Marquis Downs Race Course,MD,-106.657588,52.100227,
Meadowlands Racetrack,MED,-74.067121,40.810918,
Monmouth Park,MTH,-74.017296,40.308724,
Mountaineer Casino,MNR,-80.656858,40.580585,
North Dakota Horse Park,FAR,-96.87714,46.905201,
Oaklawn Park,OP,-93.059392,34.483986,
Parx Racing,PRX,-74.959214,40.117332,
Penn National Race Course,PEN,-76.655513,40.39166,
Pimlico Race Course,PIM,-76.67596,39.349068,
Prairie Meadows,PRM,-93.488385,41.654782,
Presque Isle Downs ,PID,-80.035274,42.064868,
Prineville Race Track,PRN,-121.2383729,44.4245638,
Remington Park,RP,-97.468837,35.528856,
Retama Park,RET,-98.313593,29.580746,
Rillito Park Race Track,RIL,-110.9553,32.289064,
Rocky Mountain Turf Club,RMTC,-112.7840931,49.6851528,
Ruidoso Downs,RUI,-105.604429,33.328973,
Sam Houston Race Park,HOU,-95.52976,29.930282,
Sandy Downs ,SAN,-111.996389,43.438084,
Santa Anita Race Track,SA,-118.041646,34.135761,
Saratoga Race Course,SAR,-73.766515,43.074494,
Sonoma (Santa Rosa),SONx,-122.6998519,38.4302593,
Sunland Park Race Track,SUN,-106.561031,31.806212,
Sunray Park & Casino LLC,SRP,-108.103065,36.698232,
Tampa Bay Downs ,TAM,-82.648529,28.053167,
Thistledown Racecourse,TDN,-81.53033,41.43707,
Turf Paradise Race Course,TUP,-112.091447,33.640076,
Turfway Park,TP,-84.634906,39.025202,
Will Rogers Downs,WRD,-95.525211,36.314588,
Woodbine Racetrack,WO,-79.602042,43.712525,
Zia Park & Black Gold Casino,ZIA,-103.185525,32.758046,
